timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,WS10M
2023-01-01 00:00:00+01:00,0.0,0.0,0.0,0.5,1.83
2023-01-01 01:00:00+01:00,0.0,0.0,0.0,0.0,1.18
2023-01-01 02:00:00+01:00,0.0,0.0,0.0,-0.43,0.94
2023-01-01 03:00:00+01:00,0.0,0.0,0.0,-0.7,0.88
2023-01-01 04:00:00+01:00,0.0,0.0,0.0,-0.89,0.76
2023-01-01 05:00:00+01:00,0.0,0.0,0.0,-0.98,0.67
2023-01-01 06:00:00+01:00,0.0,0.0,0.0,-1.13,0.78
2023-01-01 07:00:00+01:00,0.0,0.0,0.0,-1.27,1.0
2023-01-01 08:00:00+01:00,0.0,0.0,0.0,-1.44,1.32
2023-01-01 09:00:00+01:00,13.93,80.81,13.25,-1.73,1.6
2023-01-01 10:00:00+01:00,53.83,279.14,29.62,-1.65,1.53
2023-01-01 11:00:00+01:00,82.53,381.39,35.02,-1.51,1.29
2023-01-01 12:00:00+01:00,78.28,342.58,36.81,-1.46,1.31
2023-01-01 13:00:00+01:00,51.3,190.92,35.02,-1.75,1.25
2023-01-01 14:00:00+01:00,12.88,79.47,13.03,-2.37,1.43
2023-01-01 15:00:00+01:00,0.0,0.0,0.0,-2.69,1.67
2023-01-01 16:00:00+01:00,0.0,0.0,0.0,-2.93,1.58
2023-01-01 17:00:00+01:00,0.0,0.0,0.0,-3.46,1.39
2023-01-01 18:00:00+01:00,0.0,0.0,0.0,-4.62,1.36
2023-01-01 19:00:00+01:00,0.0,0.0,0.0,-5.14,1.33
2023-01-01 20:00:00+01:00,0.0,0.0,0.0,-5.3,1.34
2023-01-01 21:00:00+01:00,0.0,0.0,0.0,-5.22,1.14
2023-01-01 22:00:00+01:00,0.0,0.0,0.0,-4.67,1.22
2023-01-01 23:00:00+01:00,0.0,0.0,0.0,-5.06,1.25
2023-01-02 00:00:00+01:00,0.0,0.0,0.0,-5.15,1.4
2023-01-02 01:00:00+01:00,0.0,0.0,0.0,-4.52,1.78
2023-01-02 02:00:00+01:00,0.0,0.0,0.0,-4.12,2.0
2023-01-02 03:00:00+01:00,0.0,0.0,0.0,-3.55,2.02
2023-01-02 04:00:00+01:00,0.0,0.0,0.0,-2.54,2.2
2023-01-02 05:00:00+01:00,0.0,0.0,0.0,-1.32,2.32
2023-01-02 06:00:00+01:00,0.0,0.0,0.0,-0.48,2.03
2023-01-02 07:00:00+01:00,0.0,0.0,0.0,0.23,2.11
2023-01-02 08:00:00+01:00,0.0,0.0,0.0,0.69,1.89
2023-01-02 09:00:00+01:00,10.4,4.98,10.86,0.88,1.67
2023-01-02 10:00:00+01:00,30.33,9.48,28.04,1.04,1.56
2023-01-02 11:00:00+01:00,41.88,16.4,37.53,1.08,1.31
2023-01-02 12:00:00+01:00,32.72,0.0,29.53,0.98,1.13
2023-01-02 13:00:00+01:00,20.38,0.0,18.95,1.13,1.08
2023-01-02 14:00:00+01:00,5.62,0.0,5.9,1.58,0.46
2023-01-02 15:00:00+01:00,0.0,0.0,0.0,1.23,0.8
2023-01-02 16:00:00+01:00,0.0,0.0,0.0,0.49,1.21
2023-01-02 17:00:00+01:00,0.0,0.0,0.0,0.22,1.67
2023-01-02 18:00:00+01:00,0.0,0.0,0.0,-0.15,1.84
2023-01-02 19:00:00+01:00,0.0,0.0,0.0,-0.52,2.06
2023-01-02 20:00:00+01:00,0.0,0.0,0.0,-1.09,2.22
