scenario_id,location,timezone,weather_year,random_seed,pv_capacity_kwp,wind_capacity_kw,annual_load_kwh,peak_load_kw,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,feasible,optimal_n_modules,optimal_capacity_kwh,reference_lpsp,reference_annualized_cost,infeasibility_reason,mechanistic_optimization_runtime_seconds,annual_pv_kwh,annual_wind_kwh,annual_renewable_kwh
0,jinan,Asia/Shanghai,2023,4200126,33.2186814566789,13.777568795041047,44343.9167964553,15.460520435890459,0.9908475961309888,0.967806011647308,0.8522279403980706,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Battery-range inadequacy: annual renewable production is sufficient overall, but no module count within the tested range (0..n_max) achieved the reliability target. Consider increasing candidate_module_counts.max and re-running.",1.1516982879999773,42675.487172188514,10365.444515783429,53040.93168797194
1,jinan,Asia/Shanghai,2023,4200127,33.58192915830861,7.5622726535109175,28015.437515822687,10.561970363488719,0.9983408848996375,0.9379478608072598,0.864552322654166,True,21,322.56,0.0013221343493388107,22975.14763547173,,1.1190818619999732,43142.145448539486,5689.415801096003,48831.56124963549
2,jinan,Asia/Shanghai,2023,4200128,20.63577904389605,24.413960487898066,45724.84485288791,16.67575245610643,0.9917517483706677,0.9220048903354331,0.7087607531574457,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Renewable-generation inadequacy: annual PV+wind production (44878 kWh) is less than annual load (45725 kWh). No finite battery can close this gap -- storage shifts energy in time, it does not create it. Increasing PV/wind capacity (a scenario input, not a battery decision variable in this optimization) would be required.",1.1565072129999976,26510.441873629574,18367.649373590546,44878.091247220116
3,jinan,Asia/Shanghai,2023,4200129,14.628684762026435,18.660979064849094,39790.48623631269,19.51264598651315,0.9929324282232433,0.9133413735431382,0.7939111622551616,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Renewable-generation inadequacy: annual PV+wind production (32833 kWh) is less than annual load (39790 kWh). No finite battery can close this gap -- storage shifts energy in time, it does not create it. Increasing PV/wind capacity (a scenario input, not a battery decision variable in this optimization) would be required.",1.1425081479999903,18793.227832416887,14039.439467470515,32832.6672998874
4,jinan,Asia/Shanghai,2023,4200130,15.684140772528572,7.598430106709433,29028.19704903735,8.403640235763262,0.9960283259521426,0.9193436726985098,0.8665356392115675,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Renewable-generation inadequacy: annual PV+wind production (25866 kWh) is less than annual load (29028 kWh). No finite battery can close this gap -- storage shifts energy in time, it does not create it. Increasing PV/wind capacity (a scenario input, not a battery decision variable in this optimization) would be required.",1.1114027770000234,20149.154601988812,5716.618573989877,25865.77317597869
5,jinan,Asia/Shanghai,2023,4200131,31.007953060067475,11.247332827640822,43290.39205580804,17.071465362452027,0.9934873054112716,0.905949529353722,0.8364991007949951,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Battery-range inadequacy: annual renewable production is sufficient overall, but no module count within the tested range (0..n_max) achieved the reliability target. Consider increasing candidate_module_counts.max and re-running.",1.1002132980000283,39835.40119665636,8461.841570874418,48297.242767530784
6,jinan,Asia/Shanghai,2023,4200132,14.192574508279295,8.998164049502167,10294.490790040221,16.803865662532075,0.9959836577093283,0.9434648840763702,0.8561458062043936,True,4,61.44,0.0020779953707884616,4376.21859723271,,1.0877953359999992,18232.964248092598,6769.697294678177,25002.661542770773
7,jinan,Asia/Shanghai,2023,4200133,23.767473266150198,16.374823919057874,15591.879925106297,6.717951103039601,0.9960156266561142,0.922398658552882,0.8130472212962377,True,5,76.8,0.0025871822565201245,5470.273246540887,,1.0746062800000118,30533.677316713452,12319.468791170864,42853.14610788431
8,jinan,Asia/Shanghai,2023,4200134,32.94996572248077,17.694366400011816,32143.176026319834,13.388107411181203,0.9927355508825635,0.8827736051111146,0.7873434778464725,True,16,245.76,0.006941658260161611,17504.87438893084,,1.0746798530000206,42330.27254099695,13312.216102109373,55642.48864310632
9,jinan,Asia/Shanghai,2023,4200135,29.85749544180685,16.140643046825566,41355.92836425654,14.964703104910813,0.9936574817529606,0.9532618346199431,0.7333945839815408,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Battery-range inadequacy: annual renewable production is sufficient overall, but no module count within the tested range (0..n_max) achieved the reliability target. Consider increasing candidate_module_counts.max and re-running.",1.0994819080000298,38357.42744281381,12143.284670888668,50500.71211370248
10,jinan,Asia/Shanghai,2023,4200136,10.681362194015815,6.800957215512835,38894.37402385801,11.928158453770811,0.9914514460113024,0.9250940297593027,0.7304624205426337,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Renewable-generation inadequacy: annual PV+wind production (18839 kWh) is less than annual load (38894 kWh). No finite battery can close this gap -- storage shifts energy in time, it does not create it. Increasing PV/wind capacity (a scenario input, not a battery decision variable in this optimization) would be required.",1.1254776070000503,13722.168228943126,5116.646174685657,18838.814403628785
11,jinan,Asia/Shanghai,2023,4200137,30.88961125233208,13.923125511480613,25240.8490438593,9.522681337218149,0.99567254333807,0.9125631349498051,0.7175299838632202,True,11,168.95999999999998,0.004036418493862061,12034.601142389953,,1.1177468050000243,39683.36944595212,10474.95295595881,50158.32240191093
12,jinan,Asia/Shanghai,2023,4200138,13.54017706361546,24.23795329099029,46343.22762830428,15.495607007161244,0.9923928296531357,0.9672258739612951,0.8557501807931589,False,,,,,"No feasible battery size was found within the tested range for the selected fixed PV and wind capacities. Renewable-generation inadequacy: annual PV+wind production (35630 kWh) is less than annual load (46343 kWh). No finite battery can close this gap -- storage shifts energy in time, it does not create it. Increasing PV/wind capacity (a scenario input, not a battery decision variable in this optimization) would be required.",1.3452565219999997,17394.840109504235,18235.231756152647,35630.07186565688
13,jinan,Asia/Shanghai,2023,4200139,31.50670567476987,13.987230042875773,20889.662473806362,6.445864432302489,0.9981234215688946,0.921019866085025,0.7404726729590461,True,11,168.95999999999998,0.0015142301268134095,12034.601142389953,,1.9327950439999881,40476.14037947387,10523.181491288351,50999.32187076222
14,jinan,Asia/Shanghai,2023,4200140,19.178698724519577,16.58439137883792,17070.91131756927,17.849214261385633,0.9968266757685169,0.9447516660355842,0.7864186079550207,True,8,122.88,0.0027181851322054754,8752.43719446542,,1.7351187859999868,24638.555039123778,12477.135205977345,37115.69024510113
15,jinan,Asia/Shanghai,2023,4200141,19.89583636998356,7.890483777320938,14136.118708902066,13.81466858266568,0.9915353367168319,0.9632608106539118,0.816212227940079,True,4,61.44,0.006832281419294546,4376.21859723271,,1.2540348840000206,25559.849836137415,5936.342834734927,31496.19267087234
16,jinan,Asia/Shanghai,2023,4200142,20.406094136045112,16.818309829628333,10912.1548411879,19.37838819862168,0.9943407309324861,0.9504461704525258,0.7165459999844876,True,3,46.08,0.002277212633412139,3282.1639479245327,,1.7941601210000044,26215.36949541309,12653.121895570848,38868.49139098394
