n_modules,nominal_battery_capacity_kwh,usable_battery_capacity_kwh,rated_battery_power_kw,annual_load_kwh,peak_load_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,direct_renewable_consumption_kwh,load_served_kwh,load_served_fraction,lpsp,unserved_energy_kwh,hours_with_unmet_load,curtailed_energy_kwh,renewable_utilization,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,min_soc_kwh,max_soc_kwh,mean_soc_kwh,battery_throughput_kwh,equivalent_full_cycles,initial_cost_eur,replacement_cost_eur,present_value_cost_eur,equivalent_annual_cost_eur,cost_per_kwh_served_eur,candidate_runtime_seconds,diesel_rated_power_kw,diesel_annual_energy_kwh,diesel_annual_fuel_l,diesel_annual_fuel_cost_eur,diesel_annualized_capital_cost_eur,still_unserved_energy_kwh,lpsp_after_diesel,renewable_share,pv_annualized_cost_eur,wind_annualized_cost_eur,battery_annualized_cost_eur,total_annualized_cost_eur,system_lcoe_eur_per_kwh
0,0.0,0.0,0.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2239495.6211976362,0.5893409529467463,0.4106590470532537,1560504.3788023642,5321,1992770.6752236055,0.5291480886000318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4949236330000133,911.4157389470456,1560504.3788023642,778887.5115034189,700998.7603530771,88176.20837632718,0.0,0.0,0.5893409529467464,120005.65986027101,183122.10171180282,0.0,1092302.7303014782,0.2874480869214416
1,250.0,212.5,125.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2312837.1504124454,0.6086413553716961,0.3913586446283039,1487162.849587555,5067,1915569.0655238065,0.5473892871193877,77201.60969979905,73341.5292148091,3860.0804849899605,24.999999999999986,237.5,107.21711676301501,150543.13891460816,345.1366080696899,75000.0,75000.0,121043.49401555693,9712.843122409246,0.004199536106844862,0.002456313999999793,911.4157389470456,1487162.849587555,741989.8530845178,667790.867776066,88176.20837632718,0.0,0.0,0.6086413553716961,120005.65986027101,183122.10171180282,9712.843122409246,1068807.6808468762,0.28126517917023053
2,500.0,425.0,250.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2379407.7837837623,0.62615994310099,0.37384005689901,1420592.2162162382,4835,1845494.714606631,0.5639464567323749,147275.96061697457,139912.16258612584,7363.798030848742,49.999999999999986,475.0,212.73142555143278,287188.1232031004,329.2050884379431,150000.0,150000.0,242086.98803111387,19425.68624481849,0.008164084515991427,0.00212972299999592,911.4157389470456,1420592.2162162382,708391.0009057348,637551.9008151614,88176.20837632718,0.0,0.0,0.62615994310099,120005.65986027101,183122.10171180282,19425.68624481849,1048281.557008381,0.27586356763378445
3,750.0,637.5,375.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2440974.5941447783,0.6423617353012574,0.3576382646987425,1359025.4058552217,4616,1780687.545805561,0.5792590964062703,212083.12941804453,201478.97294714232,10604.15647090225,74.99999999999994,712.5,318.0986706688321,413562.10236518685,316.0454477602232,225000.0,225000.0,363130.4820466708,29138.52936722774,0.011937252209475264,0.002219462999988764,911.4157389470456,1359025.4058552217,676988.14174267,609289.327568403,88176.20837632718,0.0,0.0,0.6423617353012575,120005.65986027101,183122.10171180282,29138.52936722774,1029731.8268840318,0.2709820597063241
4,1000.0,850.0,500.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2498759.964951051,0.6575684118292239,0.34243158817077624,1301240.0350489498,4427,1719860.8396936958,0.5936312322435874,272909.83552991005,259264.34375341446,13645.49177649553,99.99999999999997,950.0,424.6243554662593,532174.1792833245,305.01687500401704,300000.0,300000.0,484173.97606222774,38851.37248963698,0.015548261151365955,0.005057240000013508,911.4157389470456,1301240.0350489498,648742.5610681891,583868.3049613702,88176.20837632718,0.0,0.0,0.6575684118292238,120005.65986027101,183122.10171180282,38851.37248963698,1014023.6473994083,0.26684832826300214
5,1250.0,1062.5,625.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2554346.132049789,0.6721963505394182,0.3278036494605819,1245653.8679502113,4186,1661349.084852918,0.6074563913292184,331421.5903706874,314850.51085215295,16571.07951853441,124.99999999999999,1187.5,533.3520400441643,646272.1012228404,296.3298925667322,375000.0,375000.0,605217.4700777847,48564.21561204624,0.019012386380492158,0.002222400000022162,911.4157389470456,1245653.8679502113,617177.7742850254,555459.9968565229,88176.20837632718,0.0,0.0,0.6721963505394182,120005.65986027101,183122.10171180282,48564.21561204624,995328.1824169701,0.2619284690570974
6,1500.0,1275.0,750.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2608266.033215584,0.6863857982146272,0.3136142017853728,1191733.9667844167,4018,1604591.2941520815,0.6208671237183476,388179.3810715239,368770.41201794764,19408.96905357624,149.99999999999994,1425.0,644.6367633085939,756949.7930894715,289.2316957003511,450000.0,450000.0,726260.9640933416,58277.05873445548,0.022343218825193606,0.0019332090000148128,911.4157389470456,1191733.9667844167,591442.0301927842,532297.8271735058,88176.20837632718,0.0,0.0,0.6863857982146272,120005.65986027101,183122.10171180282,58277.05873445548,981878.8558563623,0.2583891725937795
7,1750.0,1487.5,875.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2660139.683042289,0.7000367586953392,0.29996324130466084,1139860.3169577112,3854,1549987.4522292344,0.6337689210294052,442783.2229943713,420644.0618446527,22139.161149718617,174.99999999999994,1662.5,757.526935019266,863427.2848390241,282.7859239291783,525000.0,525000.0,847304.4581088985,67989.90185686472,0.02555877132704082,0.0020364890000053038,911.4157389470456,1139860.3169577112,566506.6031777079,509855.9428599371,88176.20837632718,0.0,0.0,0.7000367586953391,120005.65986027101,183122.10171180282,67989.90185686472,969149.8146652029,0.25503942491189546
8,2000.0,1700.0,1000.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2708521.950992142,0.7127689344716162,0.28723106552838396,1091478.049007859,3684,1499058.7491241265,0.645802356436854,493711.92609947914,469026.32979450515,24685.596304974013,199.99999999999997,1900.0,872.3411407151964,962738.2558939843,275.89784105559124,600000.0,600000.0,968347.9521244555,77702.74497927396,0.02868824635178281,0.0019764369999961673,911.4157389470456,1091478.049007859,541984.6472327139,487786.1825094425,88176.20837632718,0.0,0.0,0.712768934471616,120005.65986027101,183122.10171180282,77702.74497927396,956792.8974371175,0.25178760458871513
9,2250.0,1912.5,1125.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2753269.425366292,0.7245445856227083,0.2754554143772917,1046730.5746337087,3536,1451956.1445197575,0.6569317611825334,540814.530703848,513773.8041686555,27040.726535192458,224.99999999999997,2137.5,989.143284279931,1054588.3348725035,268.63989760452574,675000.0,675000.0,1089391.4461400125,87415.58810168323,0.03174973988971441,0.002103065000000015,911.4157389470456,1046730.5746337087,519990.01636996184,467991.0147329657,88176.20837632718,0.0,0.0,0.7245445856227083,120005.65986027101,183122.10171180282,87415.58810168323,946710.5727830499,0.2491343612586973
10,2500.0,2125.0,1250.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2795501.891326133,0.7356583924542455,0.2643416075457545,1004498.1086738672,3400,1407500.9171936084,0.6674356435501764,585269.7580299969,556006.270128497,29263.487901499917,249.99999999999994,2375.0,1107.3882198562744,1141276.0281584938,261.6500094722339,750000.0,750000.0,1210434.9401555695,97128.43122409248,0.03474454140970607,0.0019412740000177564,911.4157389470456,1004498.1086738672,499504.8953203766,449554.405788339,88176.20837632718,0.0,0.0,0.7356583924542455,120005.65986027101,183122.10171180282,97128.43122409248,937986.8069608326,0.24683863341074538
11,2750.0,2337.5,1375.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2834769.8166826842,0.745992057021759,0.254007942978241,965230.1833173158,3266,1366166.2589235548,0.677202197773148,626604.4163000507,595274.1954850482,31330.220815002613,275.0,2612.5,1227.713462435638,1221878.611785099,254.6627574267586,825000.0,825000.0,1331478.4341711262,106841.2743465017,0.03768957666959003,0.0019930580000107057,911.4157389470456,965230.1833173158,479897.52088307525,431907.76879476773,88176.20837632718,0.0,0.0,0.7459920570217591,120005.65986027101,183122.10171180282,106841.2743465017,930053.0130896705,0.2447507929183343
12,3000.0,2550.0,1500.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2870768.084013939,0.7554652852668259,0.24453471473317412,929231.9159860618,3156,1328273.3459432872,0.6861555363218849,664497.3292803183,631272.4628163024,33224.86646401599,299.99999999999994,2850.0,1349.2628289571041,1295769.792096621,247.55782855541273,900000.0,900000.0,1452521.9281866832,116554.11746891096,0.0406003250899821,0.0021344390000024305,911.4157389470456,929231.9159860618,462876.11780649074,416588.5060258417,88176.20837632718,0.0,0.0,0.7554652852668259,120005.65986027101,183122.10171180282,116554.11746891096,924446.5934431537,0.24327541932714566
13,3250.0,2762.5,1625.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2903447.580125762,0.7640651526646741,0.23593484733532583,896552.4198742382,3044,1293873.8763518939,0.6942834439680745,698896.7988717117,663951.9589281261,34944.83994358566,324.99999999999994,3087.5,1471.67118882617,1362848.7577998377,240.34460051696874,975000.0,975000.0,1573565.4222022402,126266.96059132021,0.04348863105214078,0.0019580510000025697,911.4157389470456,896552.4198742382,446522.66282601154,401870.3965434104,88176.20837632718,0.0,0.0,0.7640651526646742,120005.65986027101,183122.10171180282,126266.96059132021,919441.3270831316,0.24195824396924515
14,3500.0,2975.0,1750.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2933142.754442349,0.7718796722216708,0.22812032777832922,866857.2455576512,2949,1262615.7981239075,0.7016691035742336,730154.877099698,693647.1332447128,36507.743854984976,350.0,3325.0,1593.9781162830413,1423802.0103444108,233.15870025032365,1050000.0,1050000.0,1694608.916217797,135979.80371372943,0.046359763263408564,0.0019689859999800774,911.4157389470456,866857.2455576512,432165.34281009366,388948.8085290843,88176.20837632718,0.0,0.0,0.7718796722216708,120005.65986027101,183122.10171180282,135979.80371372943,916232.5821912148,0.2411138374187407
15,3750.0,3187.5,1875.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2960374.660121875,0.779045963189967,0.22095403681003295,839625.3398781253,2840,1233950.6342507226,0.7084421093034391,758820.0409728831,720879.0389242389,37941.00204864424,375.0,3562.5,1717.0480962102226,1479699.079897122,226.15812985858474,1125000.0,1125000.0,1815652.4102333542,145692.6468361387,0.04921425953231904,0.002251187000013033,911.4157389470456,839625.3398781253,417374.6995117715,375637.22956059437,88176.20837632718,0.0,0.0,0.7790459631899671,120005.65986027101,183122.10171180282,145692.6468361387,912633.8463451341,0.24016680166977208
16,4000.0,3400.0,2000.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,2985334.5926248087,0.7856143664802127,0.21438563351978726,814665.4073751917,2755,1207677.0210897396,0.7146500393628495,785093.6541338658,745838.9714271724,39254.682706693384,400.0,3800.0,1841.0891117407352,1530932.6255610383,219.36440336093307,1200000.0,1200000.0,1936695.904248911,155405.48995854793,0.05205630562901497,0.0019874900000047546,911.4157389470456,814665.4073751917,404924.59710138466,364432.1373912462,88176.20837632718,0.0,0.0,0.7856143664802128,120005.65986027101,183122.10171180282,155405.48995854793,911141.5972981951,0.2397741045521566
17,4250.0,3612.5,2125.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3008166.5506169773,0.7916227764781518,0.20837722352184812,791833.449383023,2656,1183643.381097983,0.7203287084985982,809127.2941256224,768670.929419341,40456.3647062812,425.0,4037.5,1967.2144932443098,1577798.2235449634,212.78088011608057,1275000.0,1275000.0,2057739.398264468,165118.33308095718,0.054890023641507246,0.0019369970000013836,911.4157389470456,791833.449383023,391958.68905352475,352762.82014817226,88176.20837632718,0.0,0.0,0.7916227764781518,120005.65986027101,183122.10171180282,165118.33308095718,909185.1231775305,0.23925924294145537
18,4500.0,3825.0,2250.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3029371.5388789168,0.7972030365470832,0.20279696345291662,770628.4611210832,2567,1161322.340822257,0.7256027245250946,831448.3344013484,789875.9176812809,41572.416720067515,449.99999999999994,4275.0,2094.4529433178045,1621324.2520826291,206.50350789053095,1350000.0,1350000.0,2178782.892280025,174831.17620336646,0.057712028372745076,0.0020646199999987402,911.4157389470456,770628.4611210832,380135.3636786735,342121.8273108062,88176.20837632718,0.0,0.0,0.7972030365470834,120005.65986027101,183122.10171180282,174831.17620336646,908256.9734625737,0.23901499301646673
19,4750.0,4037.5,2375.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3048894.371849317,0.8023406241708728,0.19765937582912713,751105.6281506831,2483,1140771.990327099,0.7304583619202497,851998.6848965064,809398.7506516811,42599.93424482542,475.0,4512.5,2222.9587640463415,1661397.4355481875,200.47027879917798,1425000.0,1425000.0,2299826.3862955817,184544.01932577568,0.06052817737133999,0.001889543999993748,911.4157389470456,751105.6281506831,369097.0225652271,332187.3203087044,88176.20837632718,0.0,0.0,0.8023406241708728,120005.65986027101,183122.10171180282,184544.01932577568,908035.3095828812,0.23895666041654764
20,5000.0,4250.0,2500.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3066583.464911317,0.8069956486608728,0.19300435133912713,733416.5350886832,2407,1122151.8923670994,0.7348579191919046,870618.7828565063,827087.8437136807,43530.9391428254,499.99999999999994,4750.0,2351.593922288253,1697706.626570187,194.608904403219,1500000.0,1500000.0,2420869.880311139,194256.86244818495,0.06334634770940523,0.00192859000000567,911.4157389470456,733416.5350886832,359103.6599647452,323193.2939682707,88176.20837632718,0.0,0.0,0.8069956486608729,120005.65986027101,183122.10171180282,194256.86244818495,908754.1263648567,0.23914582272759385
21,5250.0,4462.5,2625.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3083121.4396300027,0.8113477472710533,0.1886522527289467,716878.5603699975,2336,1104743.4979263772,0.7389711751218168,888027.1772972282,843625.8184323667,44401.35886486151,525.0,4987.5,2481.1200846996703,1731652.995729595,189.04780244983007,1575000.0,1575000.0,2541913.3743266957,203969.70557059417,0.06615688339382182,0.002230681000014556,911.4157389470456,716878.5603699975,349764.6465364046,314788.18188276415,88176.20837632718,0.0,0.0,0.8113477472710533,120005.65986027101,183122.10171180282,203969.70557059417,910061.8574017594,0.23948996247414717
22,5500.0,4675.0,2750.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3098344.4338962114,0.8153537983937398,0.1846462016062603,701655.5661037893,2276,1088719.2934356318,0.7427573746112712,904051.3817879737,858848.812698575,45202.569089398785,550.0,5225.0,2611.496380525773,1762900.1944865487,183.71097597830482,1650000.0,1650000.0,2662956.8683422524,213682.5486930034,0.06896668632295816,0.0022528780000072857,911.4157389470456,701655.5661037893,341565.70123068325,307409.13110761496,88176.20837632718,0.0,0.0,0.8153537983937397,120005.65986027101,183122.10171180282,213682.5486930034,912395.6497490194,0.2401041183550051
23,5750.0,4887.5,2875.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3112756.4187458637,0.8191464259857535,0.1808535740142465,687243.5812541369,2225,1073548.7830675768,0.7463418632293157,919221.8921560289,873260.7975482272,45961.09460780155,575.0,5462.5,2742.4470900178685,1792482.6897042561,178.6722859433713,1725000.0,1725000.0,2784000.362357809,223395.39181541264,0.07176770738309782,0.0021185969999919507,911.4157389470456,687243.5812541369,334234.3775488697,300810.9397939827,88176.20837632718,0.0,0.0,0.8191464259857535,120005.65986027101,183122.10171180282,223395.39181541264,915510.3015577963,0.2409237635678411
24,6000.0,5100.0,3000.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3126712.5625115847,0.8228190953977853,0.1771809046022146,673287.4374884156,2169,1058858.105419449,0.7498129769587495,933912.5698041564,887216.9413139485,46695.62849020793,600.0,5700.0,2874.149017436881,1821129.511118105,173.9641061399899,1800000.0,1800000.0,2905043.8563733664,233108.23493782192,0.07455377821828744,0.0021966760000111663,911.4157389470456,673287.4374884156,326644.016714017,293979.61504261533,88176.20837632718,0.0,0.0,0.8228190953977854,120005.65986027101,183122.10171180282,233108.23493782192,918391.8199288383,0.24168205787601005
25,6250.0,5312.5,3125.0,3800000.0000000005,729.1325911576365,2312430.040611827,1919836.2558094147,4232266.296421241,2239495.6211976362,3139223.112519237,0.8261113453997991,0.1738886546002008,660776.8874807631,2122,1045689.105411394,0.7529245486524282,947081.5698122117,899727.491321601,47354.07849061069,625.0,5937.5,3007.214413759033,1846809.0611338126,169.3604689546543,1875000.0,1875000.0,3026087.3503889237,242821.07806023117,0.07735069135158298,0.0022717059999877165,911.4157389470456,660776.8874807631,320077.38525108434,288069.6467259759,88176.20837632718,0.0,0.0,0.8261113453997992,120005.65986027101,183122.10171180282,242821.07806023117,922194.6947346082,0.24268281440384423
