scenario_id,split
0,test
1,train
2,train
3,train
4,val
5,train
6,train
7,train
8,train
9,val
10,val
11,train
12,test
13,train
14,train
15,test
16,train
17,train
18,val
19,train
20,train
21,train
22,val
23,train
24,train
25,train
26,test
27,train
28,train
29,train
30,test
31,val
32,train
33,test
34,train
35,train
36,train
37,train
38,train
39,test
40,test
41,train
42,val
43,train
44,test
45,test
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,test
54,train
55,val
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,val
70,val
71,train
72,val
73,test
74,train
75,train
76,test
77,test
78,train
79,train
80,val
81,train
82,train
83,val
84,train
85,train
86,train
87,train
88,test
89,train
90,test
91,train
92,train
93,train
94,train
95,train
96,val
97,train
98,train
99,train
