scenario_id,split
0,train
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,val
9,train
10,train
11,train
12,val
13,train
14,test
15,train
16,train
17,test
18,train
19,val
20,train
21,train
22,train
23,test
24,train
25,train
26,test
27,train
28,train
29,val
30,val
31,val
32,test
33,val
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,test
44,train
45,val
46,train
47,val
48,train
49,train
50,train
51,test
52,val
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,val
62,train
63,train
64,train
65,val
66,train
67,train
68,val
69,val
70,val
71,train
72,train
73,val
74,train
75,train
76,train
77,train
78,train
79,test
80,val
81,train
82,train
83,train
84,test
85,train
86,train
87,train
88,val
89,train
90,test
91,train
92,train
93,val
94,train
95,test
96,test
97,train
98,train
99,test
100,test
101,train
102,train
103,train
104,train
105,train
106,val
107,train
108,train
109,val
110,train
111,val
112,train
113,val
114,train
115,train
116,train
117,train
118,train
119,train
120,val
121,train
122,val
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,train
132,test
133,train
134,val
135,val
136,train
137,train
138,train
139,test
140,train
141,train
142,train
143,train
144,test
145,train
146,train
147,train
148,train
149,test
150,test
151,val
152,test
153,train
154,train
155,train
156,test
157,test
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,val
167,train
168,test
169,train
170,test
171,train
172,train
173,train
174,val
175,test
176,train
177,test
178,train
179,test
180,val
181,train
182,train
183,test
184,test
185,train
186,train
187,train
188,test
189,train
190,train
191,val
192,val
193,train
194,train
195,test
196,val
197,train
198,test
199,test
200,train
201,train
202,train
203,test
204,train
205,val
206,train
207,train
208,val
209,train
210,test
211,val
212,train
213,train
214,test
215,train
216,train
217,val
218,test
219,val
220,test
221,val
222,train
223,train
224,train
225,train
226,train
227,test
228,val
229,test
230,test
231,train
232,train
233,val
234,train
235,train
236,train
237,train
238,test
239,val
240,test
241,train
242,train
243,train
244,train
245,train
246,train
247,test
248,val
249,train
250,train
251,test
252,val
253,train
254,val
255,train
256,train
257,train
258,train
259,val
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,test
