scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
14,3500.0,14,3500.0,8,2000.0,1500.0,False,True,0.005834805709658442,0.0,True,0.0,0.573174872247917,0.5443578316449134,0.028817040603003607,0.3315206614878464,0.3292522933270453,0.0022683681608011153,1301344.9759972533,1292440.7662369248,8904.209760328522,412304.9423290726,535977.2471798093,-123672.30485073663
17,3500.0,14,3500.0,35,8750.0,-5250.0,True,False,0.008922397703490015,0.0,True,0.0,0.7070476156916565,0.8731149555428273,-0.16606733985117073,0.29402036632265954,0.24914766187867668,0.044872704443982864,1287175.6611892474,1090729.905630096,196445.7555591513,1972045.3635633113,1155666.9104047774,816378.4531585339
23,3500.0,14,3500.0,18,4500.0,-1000.0,True,False,0.004272324921030024,0.0,True,0.0,0.7007394755913076,0.7207400219391551,-0.020000546347847536,0.31146724793132435,0.31066958626899754,0.0007976616623268096,1130741.7904932678,1127845.9824034679,2895.808089799946,1365486.3926403695,1287538.9185275715,77947.474112798
26,3500.0,14,3500.0,9,2250.0,1250.0,False,True,0.0052742052732948075,0.0,True,0.0,0.9903525226428109,0.9736436258431772,0.01670889679963372,0.36790816682679617,0.33919928571077695,0.028708881116019214,462407.777638215,426324.8332724057,36082.944365809264,2641091.436954717,2664562.771398918,-23471.33444420062
32,3500.0,14,3500.0,8,2000.0,1500.0,False,True,0.00956171374917536,0.0,True,0.0,0.9982555870242404,0.9800805385357827,0.018175048488457746,0.43732685024463164,0.4076095328544007,0.029717317390230924,610484.1661877161,569000.4298971988,41483.73629051726,4990353.047059895,5018865.472206049,-28512.425146154128
43,3500.0,14,3500.0,12,3000.0,500.0,False,True,0.0020765772988508013,0.0,True,0.0,0.9848821484765249,0.9756945384062568,0.009187610070268137,0.3195754958492153,0.3152880904783042,0.0042874053709111015,598444.3822981238,590415.688946531,8028.693351592752,4237327.942569889,4255862.58277917,-18534.640209280886
51,3500.0,14,3500.0,16,4000.0,-500.0,True,False,0.001685129504513605,0.0,True,0.0,0.9189779507147873,0.9376800706450882,-0.01870211993030091,0.24064135307746404,0.23491956142226117,0.005721791655202868,600228.4792996653,585956.6915950542,14271.78770461108,1808554.2646126547,1759753.6670336805,48800.59757897421
79,3500.0,14,3500.0,33,8250.0,-4750.0,True,False,0.006293409037291253,0.0,True,0.0,0.7315117561828215,0.8813912473136648,-0.1498794911308433,0.28456104040061103,0.23629224862423556,0.04826879177637547,1382719.190379929,1148174.8388703682,234544.35150956083,2120194.5861485065,1325386.6866101595,794807.899538347
84,3500.0,14,3500.0,34,8500.0,-5000.0,True,False,0.007788702313045182,0.0,True,0.0,0.6982580383265912,0.8826599395048371,-0.18440190117824595,0.2968569621724657,0.24376169769152073,0.05309526448094498,1192133.5066713248,978910.8038245015,213222.70284682338,1946660.0746933476,1124548.993462853,822111.0812304947
90,3500.0,14,3500.0,8,2000.0,1500.0,False,True,0.0014326408892719744,0.0,True,0.0,0.9870528612445961,0.9632941270837708,0.0237587341608253,0.38367298639027053,0.35312773189681984,0.03054525449345069,496727.2516649672,457181.43829226034,39545.81337270688,2572153.5441631144,2607064.5546032977,-34911.01044018334
