scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
14,2031.6196,9,2250.0,8,2000.0,250.0,False,True,0.005834805709658442,0.0,True,0.0,0.5502701214794405,0.5443578316449134,0.005912289834527185,0.32937311623254306,0.3292522933270453,0.00012082290549775276,1292915.042200146,1292440.7662369248,474.275963221211,510603.8397971875,535977.2471798093,-25373.40738262178
17,8617.81,35,8750.0,35,8750.0,0.0,False,False,0.008922397703490015,0.0,True,0.0,0.8731149555428273,0.8731149555428273,0.0,0.24914766187867668,0.24914766187867668,0.0,1090729.905630096,1090729.905630096,0.0,1155666.9104047774,1155666.9104047774,0.0
23,4529.1074,19,4750.0,18,4500.0,250.0,False,True,0.004272324921030024,0.0,True,0.0,0.7249551147932363,0.7207400219391551,0.0042150928540811705,0.31075483329860754,0.31066958626899754,8.524702960999164e-05,1128155.460782128,1127845.9824034679,309.47837866004556,1271111.5752234273,1287538.9185275715,-16427.34330414422
26,2227.0857,9,2250.0,9,2250.0,0.0,False,False,0.0052742052732948075,0.0,True,0.0,0.9736436258431772,0.9736436258431772,0.0,0.33919928571077695,0.33919928571077695,0.0,426324.8332724057,426324.8332724057,0.0,2664562.771398918,2664562.771398918,0.0
32,2170.549,9,2250.0,8,2000.0,250.0,False,True,0.00956171374917536,0.0,True,0.0,0.9882303440540551,0.9800805385357827,0.00814980551827238,0.4083643534533129,0.4076095328544007,0.000754820598912187,570054.1178280689,569000.4298971988,1053.6879308701027,5006080.322282348,5018865.472206049,-12785.14992370084
43,3010.7083,13,3250.0,12,3000.0,250.0,False,True,0.0020765772988508013,0.0,True,0.0,0.9813440736228809,0.9756945384062568,0.005649535216624146,0.31656198860696694,0.3152880904783042,0.0012738981286627427,592801.2197166312,590415.688946531,2385.5307701001875,4244465.48366537,4255862.58277917,-11397.099113799632
51,4035.0652,17,4250.0,16,4000.0,250.0,False,True,0.001685129504513605,0.0,True,0.0,0.9437743649467161,0.9376800706450882,0.006094294301627889,0.23497442019239592,0.23491956142226117,5.485877013475249e-05,586093.5250850306,585956.6915950542,136.83348997635767,1743851.448202342,1759753.6670336805,-15902.218831338454
79,8300.093,34,8500.0,33,8250.0,250.0,False,True,0.006293409037291253,0.0,True,0.0,0.8845860970416993,0.8813912473136648,0.003194849728034521,0.23651967052587947,0.23629224862423556,0.00022742190164390386,1149279.9115369322,1148174.8388703682,1105.072666564025,1308444.4633445158,1325386.6866101595,-16942.223265643697
84,8423.815,34,8500.0,34,8500.0,0.0,False,False,0.007788702313045182,0.0,True,0.0,0.8826599395048371,0.8826599395048371,0.0,0.24376169769152073,0.24376169769152073,0.0,978910.8038245015,978910.8038245015,0.0,1124548.993462853,1124548.993462853,0.0
90,1988.4797,8,2000.0,8,2000.0,0.0,False,False,0.0014326408892719744,0.0,True,0.0,0.9632941270837708,0.9632941270837708,0.0,0.35312773189681984,0.35312773189681984,0.0,457181.43829226034,457181.43829226034,0.0,2607064.5546032977,2607064.5546032977,0.0
