scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
14,1990.0,8,2000.0,8,2000.0,0.0,False,False,0.005834805709658442,0.0,True,0.0,0.5443578316449134,0.5443578316449134,0.0,0.3292522933270453,0.3292522933270453,0.0,1292440.7662369248,1292440.7662369248,0.0,535977.2471798093,535977.2471798093,0.0
17,8575.0,35,8750.0,35,8750.0,0.0,False,False,0.008922397703490015,0.0,True,0.0,0.8731149555428273,0.8731149555428273,0.0,0.24914766187867668,0.24914766187867668,0.0,1090729.905630096,1090729.905630096,0.0,1155666.9104047774,1155666.9104047774,0.0
23,4540.0,19,4750.0,18,4500.0,250.0,False,True,0.004272324921030024,0.0,True,0.0,0.7249551147932363,0.7207400219391551,0.0042150928540811705,0.31075483329860754,0.31066958626899754,8.524702960999164e-05,1128155.460782128,1127845.9824034679,309.47837866004556,1271111.5752234273,1287538.9185275715,-16427.34330414422
26,2070.0,9,2250.0,9,2250.0,0.0,False,False,0.0052742052732948075,0.0,True,0.0,0.9736436258431772,0.9736436258431772,0.0,0.33919928571077695,0.33919928571077695,0.0,426324.8332724057,426324.8332724057,0.0,2664562.771398918,2664562.771398918,0.0
32,2040.0,9,2250.0,8,2000.0,250.0,False,True,0.00956171374917536,0.0,True,0.0,0.9882303440540551,0.9800805385357827,0.00814980551827238,0.4083643534533129,0.4076095328544007,0.000754820598912187,570054.1178280689,569000.4298971988,1053.6879308701027,5006080.322282348,5018865.472206049,-12785.14992370084
43,2880.0,12,3000.0,12,3000.0,0.0,False,False,0.0020765772988508013,0.0,True,0.0,0.9756945384062568,0.9756945384062568,0.0,0.3152880904783042,0.3152880904783042,0.0,590415.688946531,590415.688946531,0.0,4255862.58277917,4255862.58277917,0.0
51,4310.0,18,4500.0,16,4000.0,500.0,False,True,0.001685129504513605,0.0,True,0.0,0.9484862973323251,0.9376800706450882,0.010806226687236964,0.23623375182984985,0.23491956142226117,0.0013141904075886779,589234.6589924667,585956.6915950542,3277.967397412518,1731556.3117671995,1759753.6670336805,-28197.35526648094
79,8127.5,33,8250.0,33,8250.0,0.0,False,False,0.006293409037291253,0.0,True,0.0,0.8813912473136648,0.8813912473136648,0.0,0.23629224862423556,0.23629224862423556,0.0,1148174.8388703682,1148174.8388703682,0.0,1325386.6866101595,1325386.6866101595,0.0
84,8202.5,33,8250.0,34,8500.0,-250.0,True,False,0.007788702313045182,0.0,True,0.0,0.8781476261652515,0.8826599395048371,-0.004512313339585572,0.24437038593292204,0.24376169769152073,0.0006086882414013117,981355.2054729619,978910.8038245015,2444.4016484604217,1144666.0463498062,1124548.993462853,20117.052886953345
90,1970.0,8,2000.0,8,2000.0,0.0,False,False,0.0014326408892719744,0.0,True,0.0,0.9632941270837708,0.9632941270837708,0.0,0.35312773189681984,0.35312773189681984,0.0,457181.43829226034,457181.43829226034,0.0,2607064.5546032977,2607064.5546032977,0.0
95,3235.0,13,3250.0,13,3250.0,0.0,False,False,0.005596613282522811,0.0,True,0.0,0.9749690122763898,0.9749690122763898,0.0,0.3337225390647657,0.3337225390647657,0.0,605460.7840057645,605460.7840057645,0.0,4296774.664958725,4296774.664958725,0.0
96,4422.5,18,4500.0,18,4500.0,0.0,False,False,0.006599461202264623,0.0,True,0.0,0.728568375175108,0.728568375175108,0.0,0.29250642462515086,0.29250642462515086,0.0,961931.2058578448,961931.2058578448,0.0,500499.39270806406,500499.39270806406,0.0
99,1657.5,7,1750.0,7,1750.0,0.0,False,False,0.006533490363796246,0.0,True,0.0,0.602418571525523,0.602418571525523,0.0,0.3245208989664604,0.3245208989664604,0.0,721277.2953673308,721277.2953673308,0.0,334366.3362891901,334366.3362891901,0.0
100,1500.0,6,1500.0,6,1500.0,0.0,False,False,0.0010827121100399628,0.0,True,0.0,0.5288818681558962,0.5288818681558962,0.0,0.32848876921388703,0.32848876921388703,0.0,746065.5948609608,746065.5948609608,0.0,101527.24222152439,101527.24222152439,0.0
132,2167.5,9,2250.0,8,2000.0,250.0,False,True,0.006088562418871235,0.0,True,0.0,0.6185357676030188,0.6107349114357739,0.007800856167244907,0.33603781736395133,0.3359757589395481,6.205842440321074e-05,906439.2715914124,906271.8731912756,167.3984001367353,667178.2204642491,689026.7537898344,-21848.533325585304
139,2467.5,10,2500.0,10,2500.0,0.0,False,False,0.009025226909299189,0.0,True,0.0,0.9674735295340708,0.9674735295340708,0.0,0.28593694876293907,0.28593694876293907,0.0,379843.0966805214,379843.0966805214,0.0,2209209.998702544,2209209.998702544,0.0
144,5517.5,23,5750.0,23,5750.0,0.0,False,False,0.004651350147875655,0.0,True,0.0,0.9280034319642875,0.9280034319642875,0.0,0.2474077698047675,0.2474077698047675,0.0,775741.8483543915,775741.8483543915,0.0,1914871.379801286,1914871.379801286,0.0
149,4195.0,17,4250.0,17,4250.0,0.0,False,False,0.0031174820277242166,0.0,True,0.0,0.7277897235170246,0.7277897235170246,0.0,0.29694117506967305,0.29694117506967305,0.0,953927.2159949001,953927.2159949001,0.0,738691.916517154,738691.916517154,0.0
150,8675.0,35,8750.0,38,9500.0,-750.0,True,False,0.007761928041674415,0.0,True,0.0,0.8895220872788818,0.901513934492829,-0.011991847213947193,0.2402541573289991,0.2393861721570037,0.0008679851719954057,1106463.4223054494,1102466.0144995097,3997.4078059396707,1599856.4890459813,1542315.6858273095,57540.80321867182
152,3227.5,13,3250.0,13,3250.0,0.0,False,False,0.0013206969250264544,0.0,True,0.0,0.7100474302331369,0.7100474302331369,0.0,0.31663464865114604,0.31663464865114604,0.0,903721.0636200961,903721.0636200961,0.0,1229217.6331746858,1229217.6331746858,0.0
156,2085.0,9,2250.0,8,2000.0,250.0,False,True,0.0036308718092792347,0.0,True,0.0,0.9133870195150015,0.9018983147742179,0.011488704740783562,0.25921204952804955,0.2585114009515862,0.0007006485764633474,328180.08038073307,327293.01164083055,887.0687399025192,802641.7153130486,817918.634141284,-15276.918828235473
157,4670.0,19,4750.0,19,4750.0,0.0,False,False,0.005674517663564971,0.0,True,0.0,0.8202212460319037,0.8202212460319037,0.0,0.26282483362528397,0.26282483362528397,0.0,811729.9421578896,811729.9421578896,0.0,768830.0093708851,768830.0093708851,0.0
168,4272.5,18,4500.0,16,4000.0,500.0,False,True,0.0036345952522419678,0.0,True,0.0,0.9644821894888456,0.9549691269222699,0.009513062566575692,0.2538324536341041,0.2526619264928719,0.001170527141232225,678695.288069553,675565.5414830231,3129.7465865298873,3044746.4266176093,3070998.437911394,-26252.011293784715
170,4477.5,18,4500.0,18,4500.0,0.0,False,False,0.0024803826631210057,0.0,True,0.0,0.9623403742797932,0.9623403742797932,0.0,0.2638512351627532,0.2638512351627532,0.0,704696.235855839,704696.235855839,0.0,3478117.5495666615,3478117.5495666615,0.0
175,3587.5,15,3750.0,14,3500.0,250.0,False,True,0.003969161432662793,0.0,True,0.0,0.9486935658554808,0.94071140516909,0.007982160686390793,0.23207668002020826,0.23159394615978193,0.0004827338604263265,466806.4587336079,465835.4724032416,970.986330366286,1709682.053908212,1727143.0039681364,-17460.950059924275
177,4665.0,19,4750.0,19,4750.0,0.0,False,False,0.0024314997943110095,0.0,True,0.0,0.8939763181657,0.8939763181657,0.0,0.2411208110449793,0.2411208110449793,0.0,646945.7909461886,646945.7909461886,0.0,984529.124786103,984529.124786103,0.0
179,2782.5,12,3000.0,11,2750.0,250.0,False,True,0.009746024210404047,0.0,True,0.0,0.9708648065685717,0.9636841059447192,0.007180700623852454,0.3060632380864568,0.3046917342183514,0.001371503868105417,499386.59819345747,497148.79055806657,2237.807635390898,2661991.8397993934,2674445.0265587093,-12453.186759315897
183,4022.5,17,4250.0,16,4000.0,250.0,False,True,0.008133820002761971,0.0,True,0.0,0.8006145779787772,0.7959565077160288,0.004658070262748448,0.2869878356069274,0.2866431642327999,0.00034467137412752535,870665.014764128,869619.3491650658,1045.665599062224,1332471.6063939163,1347660.338556531,-15188.732162614586
184,5942.5,24,6000.0,25,6250.0,-250.0,True,False,0.005520725834733176,0.0,True,0.0,0.8655852246677681,0.8712826506364012,-0.005697425968633096,0.25353263073361954,0.25292376455573,0.0006088661778895221,764717.1271106397,762880.636111421,1836.4909992186585,711338.3713246674,691994.5549891415,19343.81633552583
188,2930.0,12,3000.0,12,3000.0,0.0,False,False,0.007860570621661234,0.0,True,0.0,0.9750243351712609,0.9750243351712609,0.0,0.33087944440558703,0.33087944440558703,0.0,538541.370843372,538541.370843372,0.0,4034676.641118474,4034676.641118474,0.0
195,4240.0,17,4250.0,17,4250.0,0.0,False,False,0.0016909881825734052,0.0,True,0.0,0.8425085672055636,0.8425085672055636,0.0,0.2733138806726983,0.2733138806726983,0.0,776527.3061272538,776527.3061272538,0.0,1250687.4590922387,1250687.4590922387,0.0
198,2507.5,11,2750.0,10,2500.0,250.0,False,True,0.006084210242360388,0.0,True,0.0,0.972420571157891,0.9650840878385848,0.007336483319306253,0.2797455098163729,0.27745172820196906,0.002293781614403856,382014.08683262777,378881.750984252,3132.3358483757474,1973509.4387575132,1984429.8810211788,-10920.442263665609
199,2775.0,12,3000.0,11,2750.0,250.0,False,True,0.005641159701830767,0.0,True,0.0,0.980993249407388,0.974959458857269,0.006033790550118989,0.3177155676210581,0.3168832252977732,0.0008323423232849403,595763.217190638,594202.4534419897,1560.7637486482272,4239376.463138735,4251129.176388345,-11752.713249609806
203,280.0,2,500.0,1,250.0,250.0,False,True,0.006373335324065588,0.0,True,0.0,0.2986497433302371,0.2951058212937058,0.0035439220365313107,0.391280998966053,0.39092785303843375,0.00035314592761925834,1692850.4630062792,1691322.601319515,1527.861686764285,41527.38000417611,58192.54220855962,-16665.16220438351
210,5877.5,24,6000.0,23,5750.0,250.0,False,True,0.004893754968873565,0.0,True,0.0,0.954366919524613,0.950357265794362,0.004009653730251084,0.26311969462421514,0.2625876476076536,0.0005320470165615654,834515.6623448869,832828.2114337772,1687.450911109685,3287769.5081236735,3301091.6106505822,-13322.10252690874
214,2947.5,12,3000.0,12,3000.0,0.0,False,False,0.009561992906432448,0.0,True,0.0,0.9726184354212747,0.9726184354212747,0.0,0.3058165849666048,0.3058165849666048,0.0,596215.6795708631,596215.6795708631,0.0,3565659.4240681073,3565659.4240681073,0.0
218,6355.0,26,6500.0,26,6500.0,0.0,False,False,0.008284215190546007,0.0,True,0.0,0.9231290389171549,0.9231290389171549,0.0,0.2390819310135382,0.2390819310135382,0.0,748381.9016081973,748381.9016081973,0.0,1723271.1313377635,1723271.1313377635,0.0
220,3002.5,13,3250.0,12,3000.0,250.0,False,True,0.002222751908615206,0.0,True,0.0,0.9757508532150182,0.96973868745051,0.006012165764508248,0.27356807330104377,0.271784413844165,0.00178365945687875,482524.13908438414,479378.0894249159,3146.0496594682336,2942639.8790732683,2954327.3417216446,-11687.462648376357
227,4130.0,17,4250.0,16,4000.0,250.0,False,True,0.006309732576607163,0.0,True,0.0,0.9100527780452494,0.9043042818696804,0.005748496175569051,0.2638478109179085,0.26339891158208406,0.0004488993358244264,679199.5268581737,678043.965948124,1155.5609100497095,1701149.2942354123,1717437.831281792,-16288.537046379643
229,1870.0,8,2000.0,7,1750.0,250.0,False,True,0.003177984113799992,0.0,True,0.0,0.49373336025099357,0.48736210517030365,0.006371255080689919,0.33755371064514306,0.33713362824857174,0.00042008239657131963,1262393.5958265644,1260822.558950277,1571.0368762873113,179422.17950090076,205340.7920064304,-25918.61250552963
230,1252.5,6,1500.0,4,1000.0,500.0,False,True,0.006175164680008449,0.0,True,0.0,0.5403470748978623,0.5206539078798362,0.019693167018026037,0.33499323992643154,0.3333584342996634,0.0016348056267681543,678979.1199515456,675665.6235777123,3313.4963738332735,124412.19387849502,168529.63342342287,-44117.43954492785
238,2050.0,9,2250.0,9,2250.0,0.0,False,False,0.007135745008434391,0.0,True,0.0,0.9496841797742726,0.9496841797742726,0.0,0.25739699671695015,0.25739699671695015,0.0,321480.17037829425,321480.17037829425,0.0,1166493.6185058816,1166493.6185058816,0.0
240,5450.0,22,5500.0,22,5500.0,0.0,False,False,0.007988103092446797,0.0,True,0.0,0.9462259428882752,0.9462259428882752,0.0,0.2561704126794486,0.2561704126794486,0.0,789877.7238010393,789877.7238010393,0.0,2841424.9710835745,2841424.9710835745,0.0
247,2885.0,12,3000.0,12,3000.0,0.0,False,False,0.0035521014181968402,0.0,True,0.0,0.9551543790564001,0.9551543790564001,0.0,0.2799164099165956,0.2799164099165956,0.0,520083.30919671187,520083.30919671187,0.0,2285235.951292045,2285235.951292045,0.0
251,4747.5,19,4750.0,20,5000.0,-250.0,True,False,0.003234463077038008,0.0,True,0.0,0.8780791260733782,0.8842143614635932,-0.006135235390214988,0.23351869940603306,0.23347142212031197,4.7277285721097906e-05,599686.2827878075,599564.8726403269,121.41014748066664,605039.4633043753,588607.2897456196,16432.17355875566
270,2855.0,12,3000.0,12,3000.0,0.0,False,False,0.0030760303643367903,0.0,True,0.0,0.9377598137334792,0.9377598137334792,0.0,0.23215356938698148,0.23215356938698148,0.0,364514.6594645247,364514.6594645247,0.0,1065406.6853001988,1065406.6853001988,0.0
283,445.0,2,500.0,1,250.0,250.0,False,True,0.0020187465464743815,0.0,True,0.0,0.30987172538781094,0.3059890938357025,0.00388263155210844,0.3950320782784677,0.3948655871989044,0.00016649107956329123,1668441.6132160304,1667738.4281820878,703.1850339425728,62592.44438151091,80090.54857344404,-17498.104191933133
