scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
0,2186.3469194263885,9,2250.0,8,2000.0,250.0,False,True,0.004016342290671604,0.0,True,0.0,0.9313176077232835,0.9196498379804579,0.011667769742825684,0.2426992725283296,0.24153203423350136,0.0011672382948282323,300709.25985144527,299263.0282247432,1446.2316267020651,743113.5247439328,758436.4060265911,-15322.881282658316
12,4356.952661344409,18,4500.0,20,5000.0,-500.0,True,False,0.002650881129184768,0.0,True,0.0,0.8824954843920968,0.8991075174283643,-0.01661203303626746,0.2512310898984793,0.2484172623954699,0.002813827503009403,616599.107865484,609693.1014124447,6906.006453039241,979090.2969934514,933253.0488887816,45837.24810466985
15,4013.685334540999,17,4250.0,15,3750.0,500.0,False,True,0.002253528385066983,0.0,True,0.0,0.9168006802277964,0.9059350191138196,0.010865661113976799,0.2701494843117488,0.268225241181966,0.0019242431297827878,613980.712386882,609607.3996980219,4373.312688860111,1602821.0013888942,1630509.27063036,-27688.269241465954
26,2207.3107985647052,9,2250.0,9,2250.0,0.0,False,False,0.0052742052732948075,0.0,True,0.0,0.9736436258431772,0.9736436258431772,0.0,0.33919928571077695,0.33919928571077695,0.0,426324.8332724057,426324.8332724057,0.0,2664562.771398918,2664562.771398918,0.0
30,6147.995377849331,25,6250.0,24,6000.0,250.0,False,True,0.00113879726711541,0.0,True,0.0,0.7115622614437387,0.7086162092212844,0.002946052222454254,0.2934081437858495,0.29333160059587604,7.654318997346587e-05,1369260.3337469902,1368903.1263685692,357.2073784209788,495686.819694705,510862.7250340988,-15175.905339393765
33,1745.8314293092262,7,1750.0,8,2000.0,-250.0,True,False,0.0039044134057204527,0.0,True,0.0,0.9715630455131371,0.9847827868293947,-0.013219741316257583,0.41570284958112286,0.41365100670707367,0.0020518428740491923,508758.2077300505,506247.05846995563,2511.149260094855,4121185.386936786,4102855.674680405,18329.712256381288
39,2402.473973929882,10,2500.0,10,2500.0,0.0,False,False,0.003595977625629021,0.0,True,0.0,0.9607608272796037,0.9607608272796037,0.0,0.35145410665944854,0.35145410665944854,0.0,512215.27277484455,512215.27277484455,0.0,2954534.298351758,2954534.298351758,0.0
40,2093.970163991129,9,2250.0,8,2000.0,250.0,False,True,0.009718448383885248,0.0,True,0.0,0.9655252667161426,0.9565759141253619,0.008949352590780668,0.35541129263512594,0.35324998403117847,0.002161308603947476,443936.0156029441,441236.37507376756,2699.6405291765695,2383386.18640494,2395946.830859574,-12560.644454633817
44,5813.4915788689295,24,6000.0,20,5000.0,1000.0,False,True,0.004771095636267653,0.0,True,0.0,0.9586859261419313,0.9424356588399414,0.016250267301989862,0.2460316603132136,0.24208584066997793,0.003945819643235676,711376.481335193,699967.5297790606,11408.951556132408,2398101.4934140593,2449350.293957816,-51248.80054375669
45,4665.84297470214,19,4750.0,17,4250.0,500.0,False,True,0.0064530371566620115,0.0,True,0.0,0.9742516623642838,0.9658053054973762,0.008446356866907645,0.2826940514881729,0.2792248378042731,0.0034692136838997967,634007.4359133837,626226.913964704,7780.5219486797,3347120.8390910076,3368362.0732362806,-21241.23414527299
53,3215.7679270905346,13,3250.0,13,3250.0,0.0,False,False,0.009135142903253235,0.0,True,0.0,0.9593788408604593,0.9593788408604593,0.0,0.3033441013773734,0.3033441013773734,0.0,595378.348342249,595378.348342249,0.0,2978860.9272099286,2978860.9272099286,0.0
73,3531.452620739552,15,3750.0,14,3500.0,250.0,False,True,0.007225001164424372,0.0,True,0.0,0.9383646716428684,0.931805279123952,0.006559392518916463,0.25708186245132864,0.25610495012934587,0.0009769123219827702,509371.09002900234,507435.4774207603,1935.6126082420233,1487593.1899638502,1502172.1692572087,-14578.979293358512
76,2537.224834989213,11,2750.0,10,2500.0,250.0,False,True,0.006374083523431384,0.0,True,0.0,0.9102932902392372,0.9000808120244428,0.01021247821479443,0.23827961783454235,0.23795362523806388,0.0003259925964784749,359113.67252618424,358622.365717815,491.3068083692342,630537.4304504145,646652.8117167593,-16115.381266344804
77,5431.892364881199,22,5500.0,20,5000.0,500.0,False,True,0.007618621551884419,0.0,True,0.0,0.9501282554200943,0.940877944811426,0.009250310608668322,0.2409917401263992,0.2393037225994709,0.0016880175269282927,641977.6618738291,637480.9536274341,4496.708246394992,1984458.2238230202,2011280.9049016116,-26822.681078591384
88,6358.522097397099,26,6500.0,25,6250.0,250.0,False,True,0.0011345797295120308,0.0,True,0.0,0.9229179982014264,0.9186324786725278,0.0042855195288985515,0.2246755998547559,0.22431404868843488,0.000361551166321028,793326.8301621841,792050.197359582,1276.6328026021365,1526435.7246848068,1542172.9445904945,-15737.219905687729
90,1864.9458068970698,8,2000.0,8,2000.0,0.0,False,False,0.0014326408892719744,0.0,True,0.0,0.9632941270837708,0.9632941270837708,0.0,0.35312773189681984,0.35312773189681984,0.0,457181.43829226034,457181.43829226034,0.0,2607064.5546032977,2607064.5546032977,0.0
