scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
14,2989.833093863526,12,3000.0,8,2000.0,1000.0,False,True,0.005834805709658442,0.0,True,0.0,0.5652183243974109,0.5443578316449134,0.020860492752497573,0.33044584599926896,0.3292522933270453,0.0011935526722236522,1297125.9154720148,1292440.7662369248,4685.149235090008,446451.5649779191,535977.2471798093,-89525.68220189016
17,7763.01839179062,32,8000.0,35,8750.0,-750.0,True,False,0.008922397703490015,0.0,True,0.0,0.8595847247003061,0.8731149555428273,-0.01353023084252114,0.25081796301007325,0.24914766187867668,0.0016703011313965732,1098042.2254876639,1090729.905630096,7312.319857567782,1222180.8253985054,1155666.9104047774,66513.91499372805
23,4612.462191863107,19,4750.0,18,4500.0,250.0,False,True,0.004272324921030024,0.0,True,0.0,0.7249551147932363,0.7207400219391551,0.0042150928540811705,0.31075483329860754,0.31066958626899754,8.524702960999164e-05,1128155.460782128,1127845.9824034679,309.47837866004556,1271111.5752234273,1287538.9185275715,-16427.34330414422
26,2397.1447887511745,10,2500.0,9,2250.0,250.0,False,True,0.0052742052732948075,0.0,True,0.0,0.9803537445598917,0.9736436258431772,0.006710118716714453,0.34252284930957094,0.33919928571077695,0.003323563598793988,430502.07584577077,426324.8332724057,4177.242573365045,2655136.9282418913,2664562.771398918,-9425.843157026451
32,1567.7806876593854,7,1750.0,8,2000.0,-250.0,True,False,0.00956171374917536,0.0,True,0.0,0.9643507679467905,0.9800805385357827,-0.015729770588992165,0.4116283059756354,0.4076095328544007,0.0040187731212346645,574610.4155558478,569000.4298971988,5609.985658649006,5043541.824886464,5018865.472206049,24676.352680414915
43,2698.9188016705066,11,2750.0,12,3000.0,-250.0,True,False,0.0020765772988508013,0.0,True,0.0,0.9663420912383427,0.9756945384062568,-0.009352447167914058,0.3170720266848433,0.3152880904783042,0.0017839362065391051,593756.3286859598,590415.688946531,3340.6397394287633,4274729.757377118,4255862.58277917,18867.17459794786
51,4329.1247752351555,18,4500.0,16,4000.0,500.0,False,True,0.001685129504513605,0.0,True,0.0,0.9484862973323251,0.9376800706450882,0.010806226687236964,0.23623375182984985,0.23491956142226117,0.0013141904075886779,589234.6589924667,585956.6915950542,3277.967397412518,1731556.3117671995,1759753.6670336805,-28197.35526648094
79,8297.792977225974,34,8500.0,33,8250.0,250.0,False,True,0.006293409037291253,0.0,True,0.0,0.8845860970416993,0.8813912473136648,0.003194849728034521,0.23651967052587947,0.23629224862423556,0.00022742190164390386,1149279.9115369322,1148174.8388703682,1105.072666564025,1308444.4633445158,1325386.6866101595,-16942.223265643697
84,7752.74662103228,32,8000.0,34,8500.0,-500.0,True,False,0.007788702313045182,0.0,True,0.0,0.8730216488371001,0.8826599395048371,-0.009638290667737026,0.24518408556577667,0.24376169769152073,0.0014223878742559426,984622.9024459189,978910.8038245015,5712.098621417419,1167518.9710576492,1124548.993462853,42969.977594796335
90,2022.0494233044024,9,2250.0,8,2000.0,250.0,False,True,0.0014326408892719744,0.0,True,0.0,0.9719030893254142,0.9632941270837708,0.008608962241643425,0.35477769766056433,0.35312773189681984,0.0016499657637444876,459317.58805583115,457181.43829226034,2136.1497635708074,2594414.5721310535,2607064.5546032977,-12649.982472244184
95,2926.744957084502,12,3000.0,13,3250.0,-250.0,True,False,0.005596613282522811,0.0,True,0.0,0.9658173639138949,0.9749690122763898,-0.009151648362494824,0.33522116120516215,0.3337225390647657,0.0014986221403964772,608179.6801839959,605460.7840057645,2718.8961782313418,4315372.875433685,4296774.664958725,18598.210474960506
96,3926.443839828224,16,4000.0,18,4500.0,-500.0,True,False,0.006599461202264623,0.0,True,0.0,0.7192378416392871,0.728568375175108,-0.009330533535820917,0.29331992504040616,0.29250642462515086,0.0008135004152552971,964606.4682436717,961931.2058578448,2675.262385826907,533573.5614892304,500499.39270806406,33074.168781166314
99,2137.8368434543636,9,2250.0,7,1750.0,500.0,False,True,0.006533490363796246,0.0,True,0.0,0.6182929197557969,0.602418571525523,0.015874348230273894,0.3255405117590975,0.3245208989664604,0.0010196127926370702,723543.4777911358,721277.2953673308,2266.182423805003,295616.4491476026,334366.3362891901,-38749.887141587504
100,2090.0500428045693,9,2250.0,6,1500.0,750.0,False,True,0.0010827121100399628,0.0,True,0.0,0.5525711594879452,0.5288818681558962,0.023689291332049,0.3306795682500671,0.32848876921388703,0.00219079903618008,751041.3503184762,746065.5948609608,4975.755457515363,45689.67639632546,101527.24222152439,-55837.56582519892
132,2612.9355848951222,11,2750.0,8,2000.0,750.0,False,True,0.006088562418871235,0.0,True,0.0,0.6321532028481324,0.6107349114357739,0.021418291412358514,0.3361793723984303,0.3359757589395481,0.0002036134588822014,906821.1067174401,906271.8731912756,549.233526164433,629038.69047123,689026.7537898344,-59988.06331860449
139,2838.7024056356972,12,3000.0,10,2500.0,500.0,False,True,0.009025226909299189,0.0,True,0.0,0.980300243164827,0.9674735295340708,0.012826713630756159,0.29231963684175793,0.28593694876293907,0.006382688078818866,388321.95894541324,379843.0966805214,8478.862264891854,2190095.2626222046,2209209.998702544,-19114.73608033918
144,5409.094681356501,22,5500.0,23,5750.0,-250.0,True,False,0.004651350147875655,0.0,True,0.0,0.9230043613810142,0.9280034319642875,-0.004999070583273313,0.24757834445526186,0.2474077698047675,0.0001705746504943595,776276.6815763284,775741.8483543915,534.8332219368313,1932312.9077611335,1914871.379801286,17441.52795984759
149,3918.015135605263,16,4000.0,17,4250.0,-250.0,True,False,0.0031174820277242166,0.0,True,0.0,0.7230572982738441,0.7277897235170246,-0.004732425243180516,0.2972695386877187,0.29694117506967305,0.0003283636180456684,954982.0881995474,953927.2159949001,1054.872204647283,755212.1384967838,738691.916517154,16520.22197962983
150,8813.552756170104,36,9000.0,38,9500.0,-500.0,True,False,0.007761928041674415,0.0,True,0.0,0.8937842209207538,0.901513934492829,-0.007729713572075192,0.2397111718326467,0.2393861721570037,0.00032499967564300625,1103962.7638476081,1102466.0144995097,1496.7493480984122,1579405.378487018,1542315.6858273095,37089.69265970844
152,2757.458115010914,12,3000.0,13,3250.0,-250.0,True,False,0.0013206969250264544,0.0,True,0.0,0.7041251683754367,0.7100474302331369,-0.005922261857700173,0.31699018186654326,0.31663464865114604,0.00035553321539721905,904735.8068168366,903721.0636200961,1014.7431967405137,1248149.5292088846,1229217.6331746858,18931.896034198813
156,1987.8977003769287,8,2000.0,8,2000.0,0.0,False,False,0.0036308718092792347,0.0,True,0.0,0.9018983147742179,0.9018983147742179,0.0,0.2585114009515862,0.2585114009515862,0.0,327293.01164083055,327293.01164083055,0.0,817918.634141284,817918.634141284,0.0
157,4840.29560782845,20,5000.0,19,4750.0,250.0,False,True,0.005674517663564971,0.0,True,0.0,0.8245005424254033,0.8202212460319037,0.004279296393499554,0.2633686501271734,0.26282483362528397,0.0005438165018894492,813409.5099960361,811729.9421578896,1679.5678381464677,754785.0315553389,768830.0093708851,-14044.977815546212
168,4606.4193757430785,19,4750.0,16,4000.0,750.0,False,True,0.0036345952522419678,0.0,True,0.0,0.9681294354584657,0.9549691269222699,0.013160308536195875,0.25554712817356684,0.2526619264928719,0.0028852016806949488,683279.9718396737,675565.5414830231,7714.430356650613,3034681.5771839377,3070998.437911394,-36316.8607274564
170,4985.361107393739,20,5000.0,18,4500.0,500.0,False,True,0.0024803826631210057,0.0,True,0.0,0.9701276947100256,0.9623403742797932,0.007787320430232336,0.26631511810804265,0.2638512351627532,0.0024638829452894306,711276.796435985,704696.235855839,6580.560580146033,3455995.307917564,3478117.5495666615,-22122.241649097297
