scenario_id,location,timezone,weather_year,random_seed,pv_capacity_kwp,wind_capacity_kw,annual_load_kwh,peak_load_kw,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,feasible,optimal_n_modules,optimal_capacity_kwh,reference_lpsp,reference_system_lcoe_eur_per_kwh,reference_renewable_share,reference_annualized_cost,infeasibility_reason,mechanistic_optimization_runtime_seconds,annual_pv_kwh,annual_wind_kwh,annual_renewable_kwh
0,jinan,Asia/Shanghai,2023,4200126,919.2574508279296,559.834764455195,1239020.0296803291,1076.2705963772453,0.9959836577093284,0.9434648840763702,0.8561458062043936,True,8,2000.0,0.0,0.2415320342335013,0.919649837980458,77702.74497927396,,0.5075235239999074,1180954.7468615298,741235.2262507636,1922189.9731122933
1,jinan,Asia/Shanghai,2023,4200127,1417.8698724519577,1242.5952240954127,2136895.7495779283,1149.4449982969943,0.9968266757685168,0.9447516660355842,0.7864186079550207,True,15,3750.0,0.0,0.2582250100048728,0.9192387074483692,145692.6468361387,,0.2888604270001451,1821513.825964648,1645227.1465613777,3466740.972526025
2,jinan,Asia/Shanghai,2023,4200128,1489.5836369983558,460.1435399588844,1748035.7289295238,867.0268007865976,0.991535336716832,0.9632608106539118,0.816212227940079,True,13,3250.0,0.0,0.2295174838668606,0.9267377995146188,126266.9605913202,,0.294583669000076,1913643.3056660115,609241.5523376238,2522884.8580036354
3,jinan,Asia/Shanghai,2023,4200129,1540.6094136045112,1263.6478846665502,1320860.5164573968,1256.4871739035175,0.994340730932486,0.9504461704525258,0.7165459999844876,True,9,2250.0,0.0,0.3167575765833152,0.9627978200379008,87415.58810168323,,0.3112781310001082,1979195.27159358,1673101.3955584257,3652296.667152005
4,jinan,Asia/Shanghai,2023,4200130,2062.017207414613,990.040628549084,1314544.0233657514,1117.6065204040756,0.998065446946558,0.892622418009875,0.8108072287078099,True,9,2250.0,0.0,0.3094507091543415,0.9761018259090358,87415.58810168323,,0.2962428620000992,2649039.185935589,1310838.5471812915,3959877.73311688
5,jinan,Asia/Shanghai,2023,4200131,825.7272234063307,1410.032167471661,2690539.054346744,942.3937664264968,0.996542951528582,0.9491782742725892,0.7215481891911792,True,15,3750.0,0.0,0.3074348004218138,0.737795782366967,145692.6468361387,,0.2908194370002093,1060798.020419885,1866917.84618595,2927715.866605835
6,jinan,Asia/Shanghai,2023,4200132,3248.035535412824,614.3851836107855,1398286.5477337528,832.5950928610575,0.993338300554762,0.9546810768819172,0.8616502944128603,True,9,2250.0,0.0,0.3142611710585782,0.9797334066797894,87415.58810168323,,0.2944131189999552,4172697.1917018513,813461.3451918003,4986158.536893652
7,jinan,Asia/Shanghai,2023,4200133,1451.416678468146,1915.218911125541,2741864.5421426287,790.8099856933003,0.9923036858151084,0.9642439213044068,0.7329215635164036,True,18,4500.0,0.0,0.2792844178344814,0.8875425221040721,174831.17620336646,,0.2870102970000516,1864610.8492970988,2535797.726476305,4400408.575773404
8,jinan,Asia/Shanghai,2023,4200134,2298.1483745625305,1774.211673507436,2241103.728287238,575.8398565450996,0.9969966435441706,0.967464378345487,0.8001482372404685,True,15,3750.0,0.0,0.2851998441659474,0.9617597593154976,145692.6468361387,,0.2943533879999904,2952392.9661786878,2349100.6181240496,5301493.584302736
9,jinan,Asia/Shanghai,2023,4200135,2582.7873069286597,1246.0098965976242,2258810.953798305,1094.3307524913755,0.9964386641665424,0.9465085603523988,0.7262115503114626,True,17,4250.0,0.0,0.2734250791601803,0.9586410947037756,165118.33308095718,,0.3105348940000567,3318063.865029306,1649748.2583347992,4967812.123364106
10,jinan,Asia/Shanghai,2023,4200136,1359.338680646165,1864.6551727616488,1331755.3043471584,832.957944443166,0.9957057760051298,0.8895307663375678,0.7280679194127825,True,9,2250.0,0.0,0.3614395349241784,0.9638766630730228,87415.58810168323,,0.3038840890001211,1746319.7780510215,2468850.07258647,4215169.850637492
11,jinan,Asia/Shanghai,2023,4200137,1757.3429579489116,1939.2174418577272,4359025.532142175,1229.6743826802217,0.9972392482405168,0.9220643441399762,0.8569526898504375,True,23,5750.0,0.0,0.2759551808404049,0.7842331917203664,223395.39181541264,,0.3223911830000361,2257629.248677061,2567572.3812251384,4825201.629902199
12,jinan,Asia/Shanghai,2023,4200138,1861.6906462288991,646.1112133124445,2454310.52388718,1033.3149942556188,0.9973491188708152,0.8894750271868712,0.7133117713910356,True,20,5000.0,0.0,0.2484172623954699,0.8991075174283643,194256.86244818493,,0.3046758059999774,2391682.9870365285,855467.4017946494,3247150.3888311777
13,jinan,Asia/Shanghai,2023,4200139,1620.8424153787148,1142.755307691747,1738861.085389695,1125.1314814779876,0.990467656798186,0.9632357682116256,0.7198226283159751,True,13,3250.0,0.0,0.2740914811714269,0.95146094696313,126266.9605913202,,0.2857694169999831,2082269.2735664293,1513036.6008450063,3595305.874411436
14,jinan,Asia/Shanghai,2023,4200140,903.6566252394412,1164.9224647057472,3925381.2120091966,1150.450751328685,0.9941651942903416,0.9146580546490318,0.827912654247422,True,8,2000.0,0.0,0.3292522933270453,0.5443578316449134,77702.74497927396,,0.2875394590000724,1160912.6258897707,1542386.4709992807,2703299.096889052
15,jinan,Asia/Shanghai,2023,4200141,1364.466842547385,1522.8076921585234,2272744.343566308,979.5380352594232,0.997746471614933,0.8918892553571389,0.8228759481083839,True,15,3750.0,0.0,0.268225241181966,0.9059350191138196,145692.6468361387,,0.2816568619998634,1752907.8422918562,2016235.4607113076,3769143.303003164
16,jinan,Asia/Shanghai,2023,4200142,785.2872446898039,1506.2881308885685,1647814.0597646572,1232.7368138356574,0.9912366713703402,0.9662992221318172,0.8601768352170194,True,9,2250.0,0.0,0.2926819529510816,0.887205412834837,87415.58810168323,,0.280264594000073,1008845.452849996,1994363.1485346693,3003208.6013846654
17,jinan,Asia/Shanghai,2023,4200143,2897.7341495362,1085.8757880357723,4377845.240069846,1227.7980474746068,0.99107760229651,0.89053932093101,0.7175418023821536,True,35,8750.0,0.0,0.2491476618786766,0.8731149555428273,339949.50928432366,,0.2840659959999811,3722670.83171904,1437726.6946046175,5160397.5263236575
18,jinan,Asia/Shanghai,2023,4200144,1649.9594683322296,1513.4342756192802,4130863.2458403697,1232.9469861803857,0.9970227134451846,0.9231432607712088,0.7752718946961652,True,23,5750.0,0.0,0.2816206351146667,0.7578930451771636,223395.39181541264,,0.2800768700001299,2119675.4668685365,2003824.822840381,4123500.2897089175
19,jinan,Asia/Shanghai,2023,4200145,2264.773999907662,1434.9734571898075,1265204.235209595,727.0338599338338,0.9974285956007668,0.906582312280968,0.7917096163597102,True,8,2000.0,0.0,0.3694353201310687,0.9787017052594436,77702.74497927396,,0.2820705579999867,2909517.4625461586,1899940.7374049465,4809458.199951105
20,jinan,Asia/Shanghai,2023,4200146,1351.725313592117,1706.4138433896887,1764023.5189183292,1299.0599669979506,0.9959911626249588,0.9385112514002916,0.7180881453968265,True,13,3250.0,0.0,0.3088216078600312,0.947094050611436,126266.9605913202,,0.2832361449998188,1736539.012114363,2259334.5958307674,3995873.60794513
21,jinan,Asia/Shanghai,2023,4200147,620.4538986411992,563.2077992942998,1862095.5003199084,779.7575397026359,0.9967066931549596,0.936701066011876,0.870226219952387,True,9,2250.0,0.0,0.2973939342955818,0.6867541731681119,87415.58810168323,,0.2830628159999833,797086.796684797,745701.2087171234,1542788.0054019203
22,jinan,Asia/Shanghai,2023,4200148,663.5009449738868,1309.356145869559,1424457.9233748857,1178.352996935158,0.9963862045659057,0.8955815061780253,0.7183442011648395,True,9,2250.0,0.0,0.3067710014559859,0.8740154613281059,87415.58810168323,,0.2815996580000046,852388.6206288615,1733620.276280869,2586008.8969097305
