timestamp,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,WS10M
2023-01-01 00:00:00+08:00,0.0,0.0,0.0,-3.12,2.21
2023-01-01 01:00:00+08:00,0.0,0.0,0.0,-3.67,2.35
2023-01-01 02:00:00+08:00,0.0,0.0,0.0,-4.2,2.48
2023-01-01 03:00:00+08:00,0.0,0.0,0.0,-4.85,2.68
2023-01-01 04:00:00+08:00,0.0,0.0,0.0,-5.63,2.96
2023-01-01 05:00:00+08:00,0.0,0.0,0.0,-6.23,3.25
2023-01-01 06:00:00+08:00,0.0,0.0,0.0,-6.6,3.51
2023-01-01 07:00:00+08:00,9.62,9.08,11.23,-6.65,3.68
2023-01-01 08:00:00+08:00,102.05,116.56,81.85,-4.09,3.33
2023-01-01 09:00:00+08:00,222.45,219.66,154.41,-0.48,4.24
2023-01-01 10:00:00+08:00,332.8,287.03,210.71,2.06,3.81
2023-01-01 11:00:00+08:00,402.58,310.42,252.71,4.43,4.22
2023-01-01 12:00:00+08:00,347.58,236.39,213.96,5.22,3.6
2023-01-01 13:00:00+08:00,314.27,261.43,198.45,5.22,2.85
2023-01-01 14:00:00+08:00,247.12,208.39,177.3,4.58,1.78
2023-01-01 15:00:00+08:00,133.12,88.07,109.12,3.23,1.61
2023-01-01 16:00:00+08:00,32.7,9.77,33.08,1.87,1.9
2023-01-01 17:00:00+08:00,0.0,0.0,0.0,1.13,2.01
2023-01-01 18:00:00+08:00,0.0,0.0,0.0,0.83,2.08
2023-01-01 19:00:00+08:00,0.0,0.0,0.0,0.47,2.23
2023-01-01 20:00:00+08:00,0.0,0.0,0.0,0.24,2.3
2023-01-01 21:00:00+08:00,0.0,0.0,0.0,0.22,2.23
2023-01-01 22:00:00+08:00,0.0,0.0,0.0,0.29,2.09
2023-01-01 23:00:00+08:00,0.0,0.0,0.0,0.08,2.03
2023-01-02 00:00:00+08:00,0.0,0.0,0.0,-0.31,2.01
2023-01-02 01:00:00+08:00,0.0,0.0,0.0,-0.81,1.97
2023-01-02 02:00:00+08:00,0.0,0.0,0.0,-1.53,2.0
2023-01-02 03:00:00+08:00,0.0,0.0,0.0,-1.81,1.79
2023-01-02 04:00:00+08:00,0.0,0.0,0.0,-1.77,1.38
2023-01-02 05:00:00+08:00,0.0,0.0,0.0,-1.79,1.02
2023-01-02 06:00:00+08:00,0.0,0.0,0.0,-1.88,0.77
2023-01-02 07:00:00+08:00,9.5,7.81,12.02,-2.07,0.61
2023-01-02 08:00:00+08:00,110.57,234.31,64.49,-1.51,0.45
2023-01-02 09:00:00+08:00,239.7,419.12,104.57,-0.02,0.27
2023-01-02 10:00:00+08:00,350.8,516.57,131.99,2.32,0.79
2023-01-02 11:00:00+08:00,418.85,544.71,149.62,4.48,1.47
2023-01-02 12:00:00+08:00,426.23,500.49,167.24,5.15,2.05
2023-01-02 13:00:00+08:00,404.8,547.81,137.43,5.25,2.41
2023-01-02 14:00:00+08:00,299.75,479.22,113.63,4.81,2.54
2023-01-02 15:00:00+08:00,168.27,320.69,85.75,3.11,1.91
2023-01-02 16:00:00+08:00,39.03,73.24,32.16,-0.05,2.52
2023-01-02 17:00:00+08:00,0.0,0.0,0.0,-1.76,2.8
2023-01-02 18:00:00+08:00,0.0,0.0,0.0,-2.23,2.89
2023-01-02 19:00:00+08:00,0.0,0.0,0.0,-2.54,2.87
2023-01-02 20:00:00+08:00,0.0,0.0,0.0,-2.78,2.77
2023-01-02 21:00:00+08:00,0.0,0.0,0.0,-2.97,2.59
2023-01-02 22:00:00+08:00,0.0,0.0,0.0,-3.06,2.45
2023-01-02 23:00:00+08:00,0.0,0.0,0.0,-3.4,2.42
2023-01-03 00:00:00+08:00,0.0,0.0,0.0,-3.92,2.46
2023-01-03 01:00:00+08:00,0.0,0.0,0.0,-4.39,2.55
2023-01-03 02:00:00+08:00,0.0,0.0,0.0,-4.82,2.66
2023-01-03 03:00:00+08:00,0.0,0.0,0.0,-5.19,2.74
2023-01-03 04:00:00+08:00,0.0,0.0,0.0,-5.51,2.8
2023-01-03 05:00:00+08:00,0.0,0.0,0.0,-5.67,2.77
2023-01-03 06:00:00+08:00,0.0,0.0,0.0,-5.69,2.68
2023-01-03 07:00:00+08:00,11.45,35.7,11.97,-5.61,2.59
2023-01-03 08:00:00+08:00,130.35,403.76,52.92,-3.97,2.38
2023-01-03 09:00:00+08:00,272.48,587.54,86.99,-0.82,3.17
2023-01-03 10:00:00+08:00,397.88,678.94,105.65,1.6,3.4
2023-01-03 11:00:00+08:00,466.8,703.89,121.71,3.72,4.3
2023-01-03 12:00:00+08:00,400.55,443.99,164.95,4.52,4.78
2023-01-03 13:00:00+08:00,345.08,394.72,145.08,4.83,4.82
2023-01-03 14:00:00+08:00,259.58,306.8,136.52,4.5,4.15
2023-01-03 15:00:00+08:00,134.38,172.25,81.3,2.87,2.57
2023-01-03 16:00:00+08:00,30.95,22.33,26.45,0.33,2.74
2023-01-03 17:00:00+08:00,0.0,0.0,0.0,-0.8,2.86
2023-01-03 18:00:00+08:00,0.0,0.0,0.0,-0.96,2.85
2023-01-03 19:00:00+08:00,0.0,0.0,0.0,-1.11,2.89
2023-01-03 20:00:00+08:00,0.0,0.0,0.0,-1.26,2.96
2023-01-03 21:00:00+08:00,0.0,0.0,0.0,-1.55,3.07
2023-01-03 22:00:00+08:00,0.0,0.0,0.0,-2.04,3.22
2023-01-03 23:00:00+08:00,0.0,0.0,0.0,-2.5,3.33
2023-01-04 00:00:00+08:00,0.0,0.0,0.0,-2.96,3.44
2023-01-04 01:00:00+08:00,0.0,0.0,0.0,-3.43,3.5
2023-01-04 02:00:00+08:00,0.0,0.0,0.0,-3.91,3.48
2023-01-04 03:00:00+08:00,0.0,0.0,0.0,-4.41,3.42
2023-01-04 04:00:00+08:00,0.0,0.0,0.0,-4.88,3.36
2023-01-04 05:00:00+08:00,0.0,0.0,0.0,-5.14,3.23
2023-01-04 06:00:00+08:00,0.0,0.0,0.0,-4.83,2.95
2023-01-04 07:00:00+08:00,4.65,0.0,6.52,-4.51,2.6
2023-01-04 08:00:00+08:00,46.08,17.04,41.91,-3.01,1.94
2023-01-04 09:00:00+08:00,111.9,51.86,92.49,-1.28,1.97
2023-01-04 10:00:00+08:00,181.1,82.25,140.68,0.24,0.75
2023-01-04 11:00:00+08:00,239.43,84.27,177.36,3.03,0.74
2023-01-04 12:00:00+08:00,137.8,23.33,106.39,4.93,1.54
2023-01-04 13:00:00+08:00,143.3,45.32,111.96,5.47,1.95
2023-01-04 14:00:00+08:00,116.62,48.34,90.68,5.13,1.94
2023-01-04 15:00:00+08:00,60.92,23.72,52.44,3.31,1.79
2023-01-04 16:00:00+08:00,16.58,1.68,16.54,0.9,2.48
2023-01-04 17:00:00+08:00,0.0,0.0,0.0,-0.27,2.8
2023-01-04 18:00:00+08:00,0.0,0.0,0.0,-0.39,2.82
2023-01-04 19:00:00+08:00,0.0,0.0,0.0,-0.39,2.73
2023-01-04 20:00:00+08:00,0.0,0.0,0.0,-0.38,2.55
2023-01-04 21:00:00+08:00,0.0,0.0,0.0,-0.3,2.32
2023-01-04 22:00:00+08:00,0.0,0.0,0.0,-0.09,2.13
2023-01-04 23:00:00+08:00,0.0,0.0,0.0,0.07,1.95
2023-01-05 00:00:00+08:00,0.0,0.0,0.0,0.09,1.73
2023-01-05 01:00:00+08:00,0.0,0.0,0.0,0.14,1.55
2023-01-05 02:00:00+08:00,0.0,0.0,0.0,-0.03,1.44
2023-01-05 03:00:00+08:00,0.0,0.0,0.0,-0.35,1.35
2023-01-05 04:00:00+08:00,0.0,0.0,0.0,-0.67,1.26
2023-01-05 05:00:00+08:00,0.0,0.0,0.0,-0.9,1.21
2023-01-05 06:00:00+08:00,0.0,0.0,0.0,-1.25,1.33
2023-01-05 07:00:00+08:00,4.93,0.0,6.96,-1.67,1.56
2023-01-05 08:00:00+08:00,50.62,20.67,45.66,-1.18,1.76
2023-01-05 09:00:00+08:00,123.68,63.49,95.55,1.19,2.24
2023-01-05 10:00:00+08:00,192.43,89.52,140.72,3.18,2.17
2023-01-05 11:00:00+08:00,234.27,108.65,163.53,5.47,2.18
2023-01-05 12:00:00+08:00,262.35,114.66,176.61,6.24,2.17
2023-01-05 13:00:00+08:00,255.0,128.13,175.73,6.57,2.05
2023-01-05 14:00:00+08:00,188.73,111.34,140.62,6.18,1.83
2023-01-05 15:00:00+08:00,99.5,52.99,82.01,4.39,1.54
2023-01-05 16:00:00+08:00,27.0,10.06,27.63,2.27,1.97
2023-01-05 17:00:00+08:00,0.0,0.0,0.0,0.67,2.41
2023-01-05 18:00:00+08:00,0.0,0.0,0.0,-0.26,2.77
2023-01-05 19:00:00+08:00,0.0,0.0,0.0,-0.69,3.04
2023-01-05 20:00:00+08:00,0.0,0.0,0.0,-1.0,3.22
2023-01-05 21:00:00+08:00,0.0,0.0,0.0,-1.21,3.33
