scenario_id,battery_cost_eur_per_kwh,optimal_n_modules,optimal_capacity_kwh,system_lcoe_eur_per_kwh,renewable_share
3263,300,11,2750.0,0.3020870800514271,0.7920633577361649
3302,300,14,3500.0,0.3256878050391237,0.5307192544295598
2083,300,1,250.0,0.3964710961065994,0.292274184679172
2865,300,6,1500.0,0.3707563314768968,0.4328686959136467
1758,300,16,4000.0,0.3221507757765724,0.6763504393465316
1213,300,21,5250.0,0.2735540726253612,0.8188519154183527
4065,300,16,4000.0,0.2464030576391526,0.9294338312457504
554,300,11,2750.0,0.3174368732950303,0.5782209808752499
1013,300,19,4750.0,0.2500493247594234,0.9512716544048349
1784,300,12,3000.0,0.3066291830390196,0.8581984657527137
3009,300,33,8250.0,0.2547606813363672,0.8334479658229228
4180,300,10,2500.0,0.3138191339899544,0.6399729793323572
651,300,13,3250.0,0.3275666179835713,0.6276818534888423
1375,300,23,5750.0,0.280170952455713,0.8219970404942156
3278,300,14,3500.0,0.3215854761784772,0.969421976655995
2658,300,28,7000.0,0.2461987451057825,0.8190673166574542
3945,300,13,3250.0,0.3029910920156722,0.9701572952291442
196,300,10,2500.0,0.355443731767844,0.968217430745686
1338,300,18,4500.0,0.2810245284406281,0.9548226146691118
96,300,18,4500.0,0.3425982172611777,0.5169858599368953
277,300,20,5000.0,0.2644229327211985,0.7822852598460078
3776,300,25,6250.0,0.2454567256814678,0.9159664726719006
3463,300,13,3250.0,0.2739051712874137,0.9609159021970604
4041,300,18,4500.0,0.3188433941270268,0.6292329385410069
4250,300,34,8500.0,0.2387261984660862,0.8932489032125168
2633,300,19,4750.0,0.2544956900937823,0.9504175897141054
2198,300,6,1500.0,0.3388467646169608,0.470123848572491
1696,300,28,7000.0,0.2830976446997999,0.7465007511905511
643,300,34,8500.0,0.2647832124777363,0.8395807089921004
3817,300,36,9000.0,0.2878474360884438,0.7192048959493365
4404,300,16,4000.0,0.2419278256061509,0.8964167712903057
2674,300,27,6750.0,0.28128292495073,0.7636412949908005
4419,300,17,4250.0,0.2443601311073763,0.9155872986079048
94,300,18,4500.0,0.2473803280809457,0.8599131691388913
506,300,4,1000.0,0.3730709625445141,0.377693323341327
4281,300,21,5250.0,0.2609763441982252,0.917250378150374
1815,300,18,4500.0,0.2514887019240422,0.8341122763960568
2909,300,28,7000.0,0.246745828348436,0.9102422417476438
1117,300,3,750.0,0.3948321667817968,0.3009165203867457
3261,300,32,8000.0,0.261605826686202,0.8168885729184083
4406,300,27,6750.0,0.3043110949665419,0.6800444240996706
3204,300,12,3000.0,0.3034231434501901,0.9521638622698554
278,300,14,3500.0,0.2909306410777612,0.953661664722804
4315,300,13,3250.0,0.3515205643055619,0.459400841325898
1343,300,15,3750.0,0.2904587282334265,0.9501177092884928
3208,300,29,7250.0,0.2819942011679077,0.7809099992930626
4388,300,5,1250.0,0.3899998491195242,0.3502923678381023
4477,300,13,3250.0,0.304867078738351,0.7252378931423871
2563,300,16,4000.0,0.3209531834901539,0.5796094248282229
1959,300,14,3500.0,0.2527698499391619,0.9240946084067928
2061,300,17,4250.0,0.2706969238493009,0.830980416221887
161,300,12,3000.0,0.3054735121206968,0.9596160536423416
2318,300,22,5500.0,0.3084131636436053,0.6763404734119458
4153,300,17,4250.0,0.2450752075045671,0.9122389499459336
1911,300,10,2500.0,0.3154842468002047,0.6343910527779535
2019,300,11,2750.0,0.3741338342384698,0.973881583165902
1517,300,16,4000.0,0.247198501488337,0.941486994741914
3763,300,18,4500.0,0.244820542699214,0.933027215062441
583,300,24,6000.0,0.2578416853385023,0.873412022803381
179,300,28,7000.0,0.2602681039915175,0.8704154226053529
97,300,33,8250.0,0.2466350351864207,0.8802315043031559
1808,300,16,4000.0,0.2990258521836124,0.7811056073638087
2992,300,38,9500.0,0.2877678609159534,0.7525935386039725
58,300,13,3250.0,0.325087245770933,0.948454452345717
3179,300,32,8000.0,0.2549611509257221,0.8135819156069306
4330,300,8,2000.0,0.3263429252344879,0.5926848249408038
884,300,35,8750.0,0.3014253204974168,0.6495485481243259
198,300,12,3000.0,0.3168313892671405,0.9700031533960132
2469,300,8,2000.0,0.3435356326642598,0.5279679512247828
1538,300,16,4000.0,0.3133388599296133,0.664540583548473
2119,300,15,3750.0,0.3093281893438077,0.6244217008370543
3055,300,28,7000.0,0.2981823660204251,0.7834379483608509
4807,300,14,3500.0,0.2465869439713082,0.958503604644213
3601,300,12,3000.0,0.2508702734740284,0.9246063960065932
3597,300,23,5750.0,0.2979162954957683,0.6831152997449115
1423,300,14,3500.0,0.2402994817639358,0.8946472557422752
4889,300,6,1500.0,0.363484950212154,0.4045762001774861
2921,300,18,4500.0,0.2489392418439193,0.9340873913562068
3837,300,12,3000.0,0.352391094595743,0.9725088677691964
3560,300,27,6750.0,0.2743755998444981,0.7687455490744961
4958,300,22,5500.0,0.24702627810603,0.8427714696510302
3409,300,9,2250.0,0.3473232591005702,0.4198770773805862
941,300,11,2750.0,0.2904826187419619,0.7891122816395697
2849,300,14,3500.0,0.2691704849727047,0.8653251091119931
274,300,32,8000.0,0.2856770562591075,0.7654853465463238
2892,300,18,4500.0,0.2716103030259227,0.8678670596647663
548,300,14,3500.0,0.2796952208478228,0.9578978850141124
3301,300,15,3750.0,0.3165196276356572,0.9676593536596332
538,300,1,250.0,0.4034116098612924,0.2666662943964807
4438,300,21,5250.0,0.2555837952426757,0.9145165520888692
2861,300,17,4250.0,0.2783007709777087,0.8160295744202388
3035,300,10,2500.0,0.3572215006927777,0.9779857677596984
375,300,15,3750.0,0.2825419629417575,0.8368422872928042
2783,300,26,6500.0,0.2411120281640287,0.9197617640315268
4826,300,23,5750.0,0.2777118871492627,0.7739852054599987
995,300,17,4250.0,0.2584154082582123,0.8445878158511307
3044,300,11,2750.0,0.3071162492323331,0.7863608424051153
1746,300,9,2250.0,0.3472114441864963,0.4264170200614079
1710,300,27,6750.0,0.2374824022514866,0.8640959996858133
251,300,9,2250.0,0.3537151980778432,0.5402541028900985
3169,300,5,1250.0,0.364452131856914,0.3691836342274125
1346,300,28,7000.0,0.2533956234929166,0.9009575209870878
2630,300,27,6750.0,0.3018470818480264,0.6821916599678051
1854,300,16,4000.0,0.289280562450716,0.958175594371062
3803,300,12,3000.0,0.3279210702833465,0.5979551132758292
2311,300,24,6000.0,0.3004354491242326,0.7331655830517134
2358,300,13,3250.0,0.3032883206126701,0.9691132750950666
1163,300,9,2250.0,0.3137075815662906,0.614260900274765
