scenario_id,split
0,train
1,train
2,train
3,train
4,train
5,train
6,train
7,train
9,train
10,train
11,train
13,train
15,train
16,train
18,train
20,train
21,train
22,train
24,train
25,train
27,train
28,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
44,train
46,train
48,train
49,train
50,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
62,train
63,train
64,train
66,train
67,train
71,train
72,train
74,train
75,train
76,train
77,train
78,train
81,train
82,train
83,train
85,train
86,train
87,train
89,train
91,train
92,train
94,train
97,train
98,train
101,train
102,train
103,train
104,train
105,train
107,train
108,train
110,train
112,train
114,train
115,train
116,train
117,train
118,train
119,train
121,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,train
133,train
136,train
137,train
138,train
140,train
141,train
142,train
143,train
145,train
146,train
147,train
148,train
153,train
154,train
155,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
167,train
169,train
171,train
172,train
173,train
176,train
178,train
181,train
182,train
185,train
186,train
187,train
189,train
190,train
193,train
194,train
197,train
200,train
201,train
202,train
204,train
206,train
207,train
209,train
212,train
213,train
215,train
216,train
222,train
223,train
224,train
225,train
226,train
231,train
232,train
234,train
235,train
236,train
237,train
241,train
242,train
243,train
244,train
245,train
246,train
249,train
250,train
253,train
255,train
256,train
257,train
258,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
271,train
272,train
273,train
275,train
276,train
277,train
280,train
281,train
282,train
284,train
285,train
286,train
288,train
292,train
294,train
295,train
299,train
300,train
301,train
302,train
303,train
304,train
306,train
307,train
310,train
311,train
312,train
313,train
316,train
317,train
319,train
320,train
323,train
324,train
326,train
327,train
329,train
331,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
352,train
355,train
357,train
358,train
359,train
361,train
362,train
363,train
364,train
365,train
368,train
369,train
370,train
372,train
374,train
375,train
377,train
379,train
380,train
381,train
382,train
383,train
384,train
385,train
386,train
388,train
389,train
390,train
391,train
392,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,train
403,train
