scenario_id,split
1,train
2,train
3,train
4,train
5,train
6,train
8,train
10,train
11,train
12,train
15,train
17,train
18,train
20,train
22,train
23,train
24,train
26,train
27,train
29,train
31,train
34,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
49,train
51,train
52,train
54,train
55,train
58,train
60,train
62,train
64,train
66,train
67,train
71,train
74,train
75,train
76,train
77,train
78,train
81,train
82,train
84,train
85,train
87,train
88,train
89,train
92,train
93,train
94,train
96,train
97,train
98,train
101,train
102,train
103,train
104,train
105,train
107,train
110,train
111,train
114,train
117,train
118,train
121,train
122,train
125,train
126,train
127,train
129,train
130,train
131,train
132,train
134,train
135,train
139,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
150,train
152,train
153,train
154,train
155,train
157,train
158,train
159,train
160,train
162,train
163,train
165,train
166,train
171,train
172,train
173,train
176,train
177,train
178,train
179,train
180,train
182,train
183,train
184,train
186,train
189,train
191,train
192,train
194,train
197,train
199,train
202,train
203,train
207,train
208,train
209,train
211,train
212,train
215,train
217,train
219,train
220,train
222,train
223,train
224,train
226,train
228,train
229,train
232,train
234,train
235,train
237,train
238,train
240,train
241,train
243,train
244,train
248,train
250,train
251,train
252,train
253,train
255,train
257,train
258,train
259,train
260,train
261,train
262,train
264,train
265,train
270,train
271,train
272,train
273,train
276,train
277,train
278,train
279,train
280,train
284,train
286,train
289,train
290,train
291,train
292,train
293,train
295,train
296,train
298,train
299,train
300,train
302,train
303,train
304,train
306,train
307,train
308,train
309,train
311,train
312,train
313,train
314,train
315,train
316,train
319,train
324,train
326,train
333,train
334,train
335,train
336,train
337,train
339,train
340,train
343,train
344,train
345,train
346,train
350,train
352,train
354,train
355,train
358,train
361,train
362,train
366,train
369,train
372,train
373,train
374,train
377,train
378,train
379,train
380,train
381,train
382,train
383,train
384,train
385,train
386,train
387,train
388,train
389,train
390,train
393,train
396,train
398,train
400,train
402,train
404,train
405,train
406,train
408,train
413,train
414,train
416,train
417,train
418,train
419,train
421,train
422,train
423,train
424,train
426,train
427,train
428,train
429,train
430,train
432,train
433,train
434,train
435,train
436,train
438,train
439,train
441,train
442,train
443,train
444,train
445,train
447,train
448,train
