n_modules,nominal_battery_capacity_kwh,usable_battery_capacity_kwh,rated_battery_power_kw,annual_load_kwh,peak_load_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,direct_renewable_consumption_kwh,load_served_kwh,load_served_fraction,lpsp,unserved_energy_kwh,hours_with_unmet_load,curtailed_energy_kwh,renewable_utilization,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,battery_self_discharge_kwh,min_soc_kwh,max_soc_kwh,mean_soc_kwh,battery_throughput_kwh,equivalent_full_cycles,initial_cost_eur,replacement_cost_eur,present_value_cost_eur,equivalent_annual_cost_eur,cost_per_kwh_served_eur,candidate_runtime_seconds,diesel_rated_power_kw,diesel_annual_energy_kwh,diesel_annual_fuel_l,diesel_annual_fuel_cost_eur,diesel_annualized_capital_cost_eur,still_unserved_energy_kwh,lpsp_after_diesel,renewable_share,pv_annualized_cost_eur,wind_annualized_cost_eur,battery_annualized_cost_eur,total_annualized_cost_eur,system_lcoe_eur_per_kwh
0,0.0,0.0,0.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2291448.4923474477,0.5092107760772105,0.4907892239227893,2208551.507652552,5656,1865261.4438021886,0.5512649493339481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959052489999067,1499.2888981291467,2208551.507652552,1233997.8796193406,1110598.0916574067,145050.8309747663,0.0,0.0,0.5092107760772107,120005.65986027101,183122.10171180282,0.0,1558776.6842042468,0.34639481871205485
1,250.0,212.5,125.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2369740.280502788,0.5266089512228417,0.47339104877715815,2130259.7194972117,5444,1782822.4646278124,0.5710976969734765,82438.97917437594,78291.78815533995,4121.293211588529,30.003913997479977,25.0,237.5,98.82579311003116,160730.7673297159,368.4319442604233,75000.0,75000.0,121043.49401555693,9712.843122409246,0.004098695203994453,0.003624705999982325,1499.2888981291467,2130259.7194972117,1188849.278613572,1069964.350752215,145050.8309747663,0.0,0.0,0.5266089512228418,120005.65986027101,183122.10171180282,9712.843122409246,1527855.7864214643,0.3395235080936587
2,500.0,425.0,250.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2440216.7375600794,0.5422703861244621,0.45772961387553773,2059783.2624399199,5310,1708610.6923597385,0.5889511852870768,156650.75144244992,148768.2452126317,7831.239468739666,59.35073957855139,50.0,475.0,195.48729245824615,305418.99665508163,350.0429299120746,150000.0,150000.0,242086.98803111387,19425.68624481849,0.007960639702947789,0.003040607999992062,1499.2888981291467,2059783.2624399199,1155148.3813566272,1039633.5432209645,145050.8309747663,0.0,0.0,0.5422703861244622,120005.65986027101,183122.10171180282,19425.68624481849,1507237.822012623,0.3349417382250274
3,750.0,637.5,375.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2506819.359113726,0.5570709686919391,0.4429290313080609,1993180.640886274,5177,1638477.0990762252,0.6058235661750437,226784.34472596337,215370.86676627782,11337.288065079932,88.102715655569,75.0,712.5,290.18949829529595,442155.2114922412,337.836653751024,225000.0,225000.0,363130.4820466708,29138.52936722774,0.01162370525873453,0.0025726450001002377,1499.2888981291467,1993180.640886274,1122522.5647143319,1010270.3082428987,145050.8309747663,0.0,0.0,0.5570709686919391,120005.65986027101,183122.10171180282,29138.52936722774,1487587.4301569667,0.33057498447932593
4,1000.0,850.0,500.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2569376.216925646,0.5709724926501436,0.4290275073498563,1930623.7830743534,5037,1572602.6140706185,0.6216713125940846,292658.82973157003,277927.7245781982,14630.391356280605,116.3861446912202,100.0,950.0,383.34842104585414,570586.5543097683,326.9737936214097,300000.0,300000.0,484173.97606222774,38851.37248963698,0.015120935670574584,0.0024950600000011036,1499.2888981291467,1930623.7830743534,1090037.1863872327,981033.4677485095,145050.8309747663,0.0,0.0,0.5709724926501437,120005.65986027101,183122.10171180282,38851.37248963698,1468063.4327849867,0.3262363183966637
5,1250.0,1062.5,625.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2629202.6214962755,0.5842672492213946,0.4157327507786053,1870797.3785037238,4895,1509602.3919179419,0.6368275835681024,355659.0518842465,337754.12914882804,17779.784010940246,144.4172369782346,125.0,1187.5,475.6762062549656,693413.1810330746,317.886239198897,375000.0,375000.0,605217.4700777847,48564.21561204624,0.01847108138984298,0.0022870780001085222,1499.2888981291467,1870797.3785037238,1057979.265395986,952181.3388563873,145050.8309747663,0.0,0.0,0.5842672492213947,120005.65986027101,183122.10171180282,48564.21561204624,1448924.1470152736,0.32198314378117193
6,1500.0,1275.0,750.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2687068.5931007406,0.5971263540223868,0.4028736459776132,1812931.4068992594,4792,1448665.8450747686,0.6514873860992405,416595.59872742003,395620.1007532924,20825.99442188105,172.24786474652342,150.0,1425.0,567.3437087755153,812215.6994807124,310.2902751006215,450000.0,450000.0,726260.9640933416,58277.05873445548,0.021687968399499144,0.00232077600003322,1499.2888981291467,1812931.4068992594,1031166.177063768,928049.5593573912,145050.8309747663,0.0,0.0,0.5971263540223868,120005.65986027101,183122.10171180282,58277.05873445548,1434505.2106386868,0.31877893569748594
7,1750.0,1487.5,875.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2743408.659820321,0.6096463688489602,0.39035363115103966,1756591.3401796785,4698,1389335.5305521283,0.6657607694803283,475925.91325006,451960.1674728731,23791.89362776293,199.97490280465686,175.0,1662.5,658.6700113005257,927886.0807229332,303.83876804899035,525000.0,525000.0,847304.4581088985,67989.90185686472,0.0247830018373266,0.0023436530000253697,1499.2888981291467,1756591.3401796785,1005827.515060005,905244.7635540045,145050.8309747663,0.0,0.0,0.6096463688489604,120005.65986027101,183122.10171180282,67989.90185686472,1421413.2579577095,0.315869612879491
8,2000.0,1700.0,1000.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2797265.346725327,0.6216145214945171,0.3783854785054828,1702734.6532746726,4589,1332619.2947863515,0.6794052711744525,532642.1490158369,505816.85437787935,26627.088766025372,227.46517431286912,200.0,1900.0,749.2164608348352,1038459.0033937162,297.53932610463494,600000.0,600000.0,968347.9521244555,77702.74497927396,0.027778110171149187,0.002176291000068886,1499.2888981291467,1702734.6532746726,979268.008279338,881341.2074514042,145050.8309747663,0.0,0.0,0.6216145214945172,120005.65986027101,183122.10171180282,77702.74497927396,1407222.5449775183,0.3127161211061152
9,2250.0,1912.5,1125.0,4500000.0,1199.4311185033173,2231771.519262632,1924938.4168870044,4156709.9361496363,2291448.4923474477,2849241.912857713,0.6331648695239362,0.36683513047606364,1650758.0871422864,4520,1277882.3018767093,0.6925736167531543,587379.1419254792,557793.4205102654,29363.325916477108,254.82167586736318,225.0,2137.5,839.3223037945896,1145172.5624357446,291.6566904628839,675000.0,675000.0,1089391.4461400125,87415.58810168323,0.03068029699661681,0.0026260530000854487,1499.2888981291467,1650758.0871422864,958055.6944388403,862250.1249949563,145050.8309747663,0.0,0.0,0.6331648695239364,120005.65986027101,183122.10171180282,87415.58810168323,1397844.3056434798,0.3106320679207733
