feature,mean_mae_increase_kwh,std_mae_increase_kwh,mean_mae_increase_pct_of_baseline
renewable_to_load_ratio,1870.6047878046963,41.583387976161816,1485.2750243272121
worst_monthly_renewable_to_load_ratio,1648.7680532895138,38.13203629334039,1309.1348992715139
n_deficit_hours,1440.58372525191,24.650450135841112,1143.834893141689
n_surplus_hours,1400.293275563409,32.97068885618169,1111.8439568245246
total_deficit_energy_kwh,1339.531667158226,30.253190159136732,1063.5987582713435
pv_capacity_kwp,622.2159250480356,10.272909015811845,494.04437497301467
total_surplus_energy_kwh,578.3287666351277,14.527143512677155,459.1976234280861
monthly_renewable_variability,528.7826574251909,15.148264917158855,419.8576201083732
total_renewable_kwh,514.5771675480667,15.890232550693923,408.5783485805872
annual_pv_kwh,402.20222988814396,13.041947566489647,319.3517576113157
max_cumulative_deficit_event_kwh,264.0576715258561,5.696822893385314,209.66388360399142
net_load_q10_kw,245.03398729316717,4.741328257447656,194.55892757815968
mean_positive_net_load_kw,217.42311506207867,6.661407052478171,172.63567623608773
usable_soc_window_fraction,185.38145257413942,7.215063584270223,147.19434232016755
monthly_max_load_kwh,168.86700357571738,7.718325342670078,134.08173895370874
peak_load_kw,137.22652172997851,4.633702458583113,108.95894564668068
mean_load_kw,135.9988070105744,6.026005521393212,107.98413043097183
daily_renewable_variability,135.59883437480494,3.9413043692907843,107.66654898875822
max_consecutive_deficit_hours,132.53558254927674,7.952284956548991,105.23430276585547
annual_load_kwh,95.96975066772947,4.621578310549111,76.20074250155862
monthly_min_load_kwh,78.13806879929949,2.70176001767341,62.04224579846313
load_factor,74.7345382954563,5.275754820870011,59.339815608584935
annual_wind_kwh,72.2190357954937,2.771886782056078,57.342486690587315
std_load_kw,71.5441016063868,3.6858306305973376,56.80658359620815
peak_to_average_ratio,66.67967928341638,3.3769423544565558,52.944193725728425
wind_capacity_kw,56.69722223142175,4.50138817639223,45.01804372471887
net_load_q50_kw,55.74748294540791,2.69555619019581,44.26394320581974
max_positive_net_load_kw,33.96394520440844,2.299489409764823,26.967641625106715
std_net_load_kw,20.89234702444266,1.8247724054728531,16.588689089905966
round_trip_efficiency,13.604167473967,1.0790649447544884,10.801816774756077
net_load_q90_kw,8.187824014595122,1.3903525248150326,6.501197148509817
nighttime_load_share,8.158047863265642,1.005946136910416,6.477554648405789
daytime_load_share,6.490543626564315,0.8527107131177301,5.153543071038397
reliability_target_load_served,0.3682249635576994,0.42701782355487494,0.29237353890657874
pv_capacity_factor,0.0,0.0,0.0
wind_capacity_factor,0.0,0.0,0.0
seasonal_load_variability,-0.7446641254044138,0.6433842763606418,-0.5912692163445483
