feature,mean_mae_increase_kwh,std_mae_increase_kwh,mean_mae_increase_pct_of_baseline
monthly_renewable_variability,1332.7247383386948,46.52531670965396,839.0393047958961
worst_monthly_renewable_to_load_ratio,1260.4810128425147,69.9859120340734,793.5570506796107
reliability_target_load_served,943.7362378109203,17.5115684578616,594.1450429370924
n_surplus_hours,699.6491342881146,35.272298082888675,440.4758959947837
n_deficit_hours,654.4470139626895,21.971906693328272,412.01813984896313
std_net_load_kw,593.5243013269761,20.928874411724358,373.6632200476932
renewable_to_load_ratio,546.5021836224724,15.651360896690985,344.059653899444
net_load_q10_kw,358.6103498571059,14.117763956554247,225.7691854747071
monthly_max_load_kwh,324.8570845839556,8.870418632498545,204.51924884887532
mean_load_kw,313.7590545833812,11.511031999884057,197.5322971487865
annual_pv_kwh,303.86253683651194,19.251469074985835,191.30177772390942
usable_soc_window_fraction,303.3491381117877,16.76123125597066,190.97855891008842
daily_renewable_variability,299.8180586332433,13.429206313930072,188.7555083538647
std_load_kw,280.28839558320885,3.161213983149299,176.4602800617681
annual_load_kwh,246.95085004021138,14.147369670118351,155.47206679361344
monthly_min_load_kwh,234.687569992963,13.839583582176003,147.75151230147813
peak_load_kw,230.09910246007584,10.0885998680885,144.8627652870937
net_load_q50_kw,229.22319414924172,12.49968673453115,144.31132245794404
total_surplus_energy_kwh,226.3149590884938,7.972802669322883,142.48039409490133
pv_capacity_kwp,218.4070216638902,10.980534622131508,137.5018189036133
peak_to_average_ratio,216.5400561164407,8.022488017241793,136.32643929974807
max_cumulative_deficit_event_kwh,184.36478630514708,8.971964070113376,116.06995629355706
load_factor,170.86294187657973,7.38193182326562,107.56964273523808
max_consecutive_deficit_hours,146.98105915742758,6.214974649460314,92.53440125028398
mean_positive_net_load_kw,140.1282368558996,5.258858473370753,88.22009155499669
total_renewable_kwh,98.97109601189108,4.7391384991841665,62.3089203673214
total_deficit_energy_kwh,97.11004410687615,6.624642370317962,61.13726379664853
annual_wind_kwh,92.15808218563303,5.543554143069586,58.019672768095376
wind_capacity_kw,92.07037089628331,6.606065315292484,57.96445264865009
round_trip_efficiency,87.81364950741037,9.911066119180534,55.28456200650452
net_load_q90_kw,35.73901211009305,3.421213194335027,22.50009699101415
daytime_load_share,15.611973428165195,2.421446421636145,9.828780808847544
max_positive_net_load_kw,15.413175856646362,2.0207025630240163,9.703624449545474
nighttime_load_share,11.932510717055365,2.978449949095135,7.5123130894891
pv_capacity_factor,0.0,0.0,0.0
wind_capacity_factor,0.0,0.0,0.0
seasonal_load_variability,-2.4991931331859005,0.7070974653738352,-1.5734091284543035
