scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh,verified_lpsp_battery_alone,reference_lpsp_battery_alone,lean_on_diesel_difference
14,2859.512,12,3000.0,12,3000.0,0.0,False,False,0.004294223994870228,0.0,True,0.0,0.9505850672887681,0.9505850672887681,0.0,0.3294497735390081,0.3294497735390081,0.0,535124.4293459976,535124.4293459976,0.0,2560464.3564666896,2560464.3564666896,0.0,0.04941493271123193,0.04941493271123193,0.0
17,6339.262,26,6500.0,25,6250.0,250.0,False,True,0.006167061222638437,0.0,True,0.0,0.934911156277387,0.9308325747413607,0.004078581536026249,0.23824358713260535,0.2376256292695999,0.0006179578630054472,848828.0337623567,846626.3377414227,2201.6960209340323,2136292.846959351,2151833.7241793773,-15540.877220026217,0.06508884372261305,0.06916742525863924,-0.0040785815360261934
23,3997.0247,16,4000.0,16,4000.0,0.0,False,False,0.002253528385066983,0.0,True,0.0,0.8745487155955451,0.8745487155955451,0.0,0.27150915837459916,0.27150915837459916,0.0,682037.2412154835,682037.2412154835,0.0,1429705.8287212208,1429705.8287212208,0.0,0.1254512844044548,0.1254512844044548,0.0
26,6645.717,27,6750.0,26,6500.0,250.0,False,True,0.005806133623168952,0.0,True,0.0,0.7435262613300411,0.7397393559810608,0.003786905348980296,0.27465002859452814,0.2745861063967471,6.392219778106334e-05,1187793.5508688036,1187517.1031485167,276.44772028690204,269493.06152235897,287181.93288433907,-17688.8713619801,0.25647373866995893,0.2602606440189392,-0.003786905348980296
32,8464.616,34,8500.0,34,8500.0,0.0,False,False,0.0030510244080605986,0.0,True,0.0,0.7022981349036543,0.7022981349036543,0.0,0.285877931810735,0.285877931810735,0.0,1573706.3473872957,1573706.3473872957,0.0,216921.1095379009,216921.1095379009,0.0,0.29770186509634566,0.29770186509634566,0.0
43,7850.863,32,8000.0,31,7750.0,250.0,False,True,0.0010871050210635724,0.0,True,0.0,0.9088136645804612,0.9049951619678998,0.0038185026125614474,0.25635193086578345,0.2562000422109463,0.0001518886548371734,1097147.078185865,1096497.01796084,650.0602250250522,2298822.2484784797,2317182.3266051505,-18360.078126670793,0.0911863354195388,0.09500483803210028,-0.003818502612561475
51,4974.9673,20,5000.0,20,5000.0,0.0,False,False,0.006867717189314448,0.0,True,0.0,0.9575031760368008,0.9575031760368008,0.0,0.27501616400853635,0.27501616400853635,0.0,739323.7031926963,739323.7031926963,0.0,3204716.139101394,3204716.139101394,0.0,0.0424968239631992,0.0424968239631992,0.0
79,7945.752,32,8000.0,31,7750.0,250.0,False,True,0.005351865376279186,0.0,True,0.0,0.6718989384861771,0.669802686505312,0.0020962519808650493,0.30330766821801736,0.30314323713841645,0.00016443107960090186,1959431.239682225,1958368.9803729313,1062.2593092937022,490733.4317202285,505991.22677254624,-15257.795052317728,0.3281010615138229,0.33019731349468795,-0.0020962519808650493
84,5102.4087,21,5250.0,21,5250.0,0.0,False,False,0.0032365827048576046,0.0,True,0.0,0.8951404716530541,0.8951404716530541,0.0,0.25299142651890405,0.25299142651890405,0.0,656752.1025508062,656752.1025508062,0.0,1058291.5573911276,1058291.5573911276,0.0,0.10485952834694588,0.10485952834694588,0.0
90,1355.2207,6,1500.0,5,1250.0,250.0,False,True,0.004808251373521588,0.0,True,0.0,0.509793025747592,0.5023475561846753,0.007445469562916696,0.34957474291021673,0.34927901552173674,0.0002957273884799938,1090562.5031806557,1089639.9273722465,922.5758084091358,407599.8716070213,431998.12013172044,-24398.248524699127,0.49020697425240795,0.49765244381532475,-0.007445469562916807
