scenario_id,predicted_capacity_kwh,installed_n_modules,installed_capacity_kwh,reference_n_modules,reference_capacity_kwh,excess_capacity_kwh,undersized,oversized,lpsp_target,verified_lpsp,reliability_pass,reference_lpsp,verified_renewable_share,reference_renewable_share,renewable_share_difference,verified_system_lcoe_eur_per_kwh,reference_system_lcoe_eur_per_kwh,extra_system_lcoe_eur_per_kwh,verified_cost_eur,reference_cost_eur,cost_difference_eur,verified_curtailed_kwh,reference_curtailed_kwh,curtailed_difference_kwh
13,2223.2605,9,2250.0,9,2250.0,0.0,False,False,0.009532343201813953,0.007743573160394843,True,0.007743573160394843,0.9922564268396051,0.9922564268396051,0.0,0.3520082065831607,0.3520082065831607,0.0,339796.6757788865,339796.6757788865,0.0,2549879.3904880257,2549879.3904880257,0.0
16,3043.312,13,3250.0,12,3000.0,250.0,False,True,0.008763328629659783,0.006040416986643289,True,0.00760544603781291,0.9939595830133567,0.9923945539621871,0.0015650290511696197,0.3932589438408559,0.3835072689983565,0.009751674842499392,368852.70474100695,359139.86161859764,9712.843122409307,2025155.0303846386,2026752.8881690418,-1597.8577844032552
21,17066.297,69,17250.0,69,17250.0,0.0,False,False,0.003293306845040367,0.003139534843297463,True,0.003139534843297463,0.9968604651567026,0.9968604651567026,0.0,0.7755510798445987,0.7755510798445987,0.0,782679.8547320843,782679.8547320843,0.0,475573.9491576564,475573.9491576564,0.0
25,4251.943,18,4500.0,16,4000.0,500.0,False,True,0.005552725181343199,0.004048580145541302,True,0.005416174835730161,0.9959514198544587,0.9945838251642698,0.001367594690188878,0.3907074865245086,0.37660965376139166,0.014097832763116935,519313.9653249129,499888.2790800944,19425.6862448185,3352944.444465107,3355130.3588206465,-2185.914355539717
35,3776.2202,16,4000.0,15,3750.0,250.0,False,True,0.008311656862544425,0.006961444303466015,True,0.007959779442746007,0.993038555696534,0.992040220557254,0.0009983351392799378,0.3355917053040647,0.3282031357987145,0.007388569505350162,422302.2344570803,412589.39133467106,9712.84312240925,2715633.7989032287,2717128.980180644,-1495.1812774152495
46,6515.589,27,6750.0,25,6250.0,500.0,False,True,0.005784250228779042,0.004332801336901681,True,0.0054732373964821845,0.9956671986630983,0.9945267626035178,0.0011404360595804741,0.38021320582627527,0.36314377865100367,0.0170694271752716,422404.65885355853,402978.97260874003,19425.6862448185,1244035.184887153,1245578.309616088,-1543.1247289348394
83,6843.468,28,7000.0,27,6750.0,250.0,False,True,0.007788702313045182,0.006731034965434639,True,0.007417603409074375,0.9932689650345654,0.9925823965909256,0.0006865684436397901,0.3291221935543645,0.3236045201646431,0.0055176733897214225,556787.0075280501,547074.1644056409,9712.843122409191,2926812.2877509384,2928177.5690007107,-1365.2812497722916
90,2537.45,11,2750.0,10,2500.0,250.0,False,True,0.0014326408892719744,0.00022169639750348858,True,0.000943446957008531,0.9997783036024965,0.9990565530429915,0.0007217505595050744,0.5023252988862987,0.4909800527893514,0.011345246096947315,417020.186550519,407307.34342810983,9712.843122409191,2996931.0328486334,2997685.5297070853,-754.4968584519811
106,2369.0557,10,2500.0,9,2250.0,250.0,False,True,0.006948857281840803,0.0045657984073203236,True,0.006282435126425299,0.9954342015926797,0.9937175648735747,0.001716636719105047,0.3620375415535748,0.3513746958607217,0.01066284569285314,312048.78896946047,302335.9458470512,9712.84312240925,2784775.065404809,2786424.5154940817,-1649.4500892725773
109,16390.209,66,16500.0,66,16500.0,0.0,False,False,0.004164420833169591,0.003866027236235299,True,0.003866027236235299,0.9961339727637647,0.9961339727637647,0.0,0.7164743291983753,0.7164743291983753,0.0,833362.5518473629,833362.5518473629,0.0,1146230.5793761457,1146230.5793761457,0.0
